service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20260202,20260802
11_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
11_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
15_平日(共通),1,1,1,1,1,0,0,20260202,20260802
15_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
15_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
16_平日(共通),1,1,1,1,1,0,0,20260202,20260802
16_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
16_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
17_平日(共通),1,1,1,1,1,0,0,20260202,20260802
17_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
17_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
21_平日(共通),1,1,1,1,1,0,0,20260202,20260802
21_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
21_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
24_平日(共通),1,1,1,1,1,0,0,20260202,20260802
24_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
24_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
31_平日(共通),1,1,1,1,1,0,0,20260202,20260802
31_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
31_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
33_平日(共通),1,1,1,1,1,0,0,20260202,20260802
33_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
33_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
35_平日(共通),1,1,1,1,1,0,0,20260202,20260802
35_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
35_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
37_平日(共通),1,1,1,1,1,0,0,20260202,20260802
37_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
37_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
41_平日(共通),1,1,1,1,1,0,0,20260202,20260802
41_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
41_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
51_平日(共通),1,1,1,1,1,0,0,20260202,20260802
51_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
51_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
61_平日(共通),1,1,1,1,1,0,0,20260202,20260802
61_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
61_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
90_平日(共通),1,1,1,1,1,0,0,20260202,20260802
90_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
90_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
98_平日(共通),1,1,1,1,1,0,0,20260202,20260802
98_土曜(共通),0,0,0,0,0,1,0,20260202,20260802
98_日祝(共通),0,0,0,0,0,0,1,20260202,20260802
