route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
708436803,1_日祝(共通),96b67776-f1d3-443b-91ab-00158e64bbe9,,,,,75112000,0,0
708436803,1_日祝(共通),51dabb3d-6a6c-499f-88d2-2c5a4353db79,,,,,75112000,0,0
708436803,1_平日(共通),e029480a-5a71-4d8f-8922-31be0f2976a3,,,,,75112000,0,0
708436803,1_平日(共通),fdb6dfaf-0f98-466a-b460-711bd025d4de,,,,,75112000,0,0
708436803,1_土曜(共通),821243f0-5702-44e2-a675-7748c1a3c3d6,,,,,75112000,0,0
708436803,1_平日(共通),b93dea8d-ca59-4df8-bea8-bcfb69cbb2f8,,,,,75112000,0,0
708436803,1_土曜(共通),7df46b0d-dce3-46b3-bc15-de78f7622497,,,,,75112000,0,0
3639980207,1_日祝(共通),cfa70f57-2ddd-4647-97d1-f6720eb7d806,和知～美土里通過,,,,32050000,0,0
3639980207,1_土曜(共通),d2ec651b-14e2-4d6f-a919-84f2e5a51d52,和知～美土里通過,,,,32050000,0,0
3639980207,1_平日(共通),efe5dcda-e67a-4402-8ed4-10ad8772e5ff,和知～美土里通過,,,,32050000,0,0
3000524979,1_平日(共通),d0c971c3-881f-40a8-a51d-35f85bdb05cd,,,,,90653009,0,0
3000524979,1_平日(共通),0eb8e79a-535c-4c28-bd74-49172af9a90e,,,,,90653009,0,0
3000524979,1_平日(共通),6883ad96-77e9-476a-83ec-f3424cbc7e6f,,,,,90653009,0,0
3000524979,1_平日(共通),4202e4bd-f8c3-4442-ba5f-a3a686623b7d,,,,,90653009,0,0
2010039002,1_平日(共通),5b20007b-9be1-4632-b405-9f8dd515d6d7,廻神経由,,,,90665000,0,0
2010039002,1_平日(共通),9de987a5-cefa-4bb5-a0bb-9afdc9a599ee,廻神経由,,,,90665000,0,0
708436803,1_土曜(共通),543176c6-b16c-46d7-8f00-a9ee7aaa5593,,,,,75113009,0,0
708436803,1_平日(共通),0f2c7df6-5f17-4fcf-9b5b-78729f5fd6e8,,,,,75113009,0,0
708436803,1_日祝(共通),68c15737-5254-4f8a-91e5-2375622e847b,,,,,75113009,0,0
2531580290,1_平日(共通),70144398-9a5d-4f0c-8423-d2b17fd0ff4e,,,,,90707009,0,0
1677966273,1_平日(共通),086f1a7b-561f-4a65-805e-dbb5c82a84f3,庄原循環,,,,93013000,0,0
1677966273,1_日祝(共通),d731d709-8ae9-4338-b360-a76c8e1180b0,庄原循環,,,,93013000,0,0
1677966273,1_土曜(共通),e5be3a5a-9ee7-4df7-9a46-a02b074c529f,庄原循環,,,,93013000,0,0
1677966273,1_土曜(共通),94c5abf2-e66d-4f62-9cf1-62031d99d592,庄原循環,,,,93013000,0,0
1677966273,1_平日(共通),2f74fc3b-9bb7-4a0d-a71d-6f4ad87430ee,庄原循環,,,,93013000,0,0
1677966273,1_日祝(共通),8e76dd15-ee59-45e4-b3ef-5117cc59cc5c,庄原循環,,,,93013000,0,0
1677966273,1_日祝(共通),a0c7d83e-f1f8-4a3f-8998-17cdf559f78e,庄原循環,,,,93013000,0,0
1677966273,1_平日(共通),4a9cf8aa-979d-4a51-9943-0402c47fa9c8,庄原循環,,,,93013000,0,0
1677966273,1_平日(共通),033209f8-f65a-4296-be06-330170611528,庄原循環,,,,93013000,0,0
1677966273,1_土曜(共通),575b579a-166a-46d9-ad24-44e5319c47a8,庄原循環,,,,93013000,0,0
935591245,1_平日(共通),0d8ca190-c98f-4b2d-b180-a2742877a948,湯木経由,,,,91024000,0,0
708436803,1_平日(共通),65ad6559-d1f1-46a6-8148-efef35032c11,,,,,75112009,0,0
708436803,1_平日(共通),3e7ca116-04fb-4548-b4ae-e489a9419181,,,,,75112009,0,0
708436803,1_日祝(共通),0029c8ca-788f-45c2-b4a4-47b10216d9f3,,,,,75112009,0,0
708436803,1_平日(共通),1bebf1c3-482c-4f94-a65d-2fb263e13de4,,,,,75112009,0,0
708436803,1_土曜(共通),47f3c013-7ac5-463a-9033-55daad80d37d,,,,,75112009,0,0
2342965103,1_土曜(共通),ae6f390f-c232-4563-8869-6830d96bfd95,,,,,98003000,0,0
2342965103,1_日祝(共通),25cd3a0f-3ac0-42af-91e4-8706fff3fdb2,,,,,98003000,0,0
2342965103,1_土曜(共通),dca789f2-8219-48bb-b38d-cd7d333885df,,,,,98003000,0,0
2342965103,1_日祝(共通),9ec0ac26-e349-4cb6-aba7-dcaa2492d9ac,,,,,98003000,0,0
708436803,1_日祝(共通),5586b01f-a8a0-47a1-a825-abfdc9a7942c,,,,,35112009,0,0
708436803,1_平日(共通),79ca5e16-7c72-4395-9081-6a8da13bfe29,,,,,35112009,0,0
708436803,1_土曜(共通),34228053-b7d6-4970-8645-4d21c80e1e77,,,,,35112009,0,0
708436803,1_日祝(共通),b0f87b45-c925-4cfa-8295-42e8cbd83312,,,,,35112009,0,0
708436803,1_土曜(共通),78d1860e-f246-419f-9a80-401618f704d7,,,,,35112009,0,0
1935967071,1_平日(共通),4a8a3d2a-436f-475a-ad45-1166897d3f66,,,,,90843000,0,0
2945424403,1_平日(共通),92aef150-4d37-4280-92ee-b027b71000ac,,,,,90032009,0,0
2945424403,1_平日(共通),201be31c-627b-495f-a779-e615918313b1,,,,,90032009,0,0
2945424403,1_平日(共通),3cb4c97e-3a6c-4521-8988-ee515ba38ab4,,,,,90032009,0,0
3618816783,1_平日(共通),d96ab06c-3ab8-4da4-ab93-f00da86c8038,,,,,72100010,0,0
3618816783,1_平日(共通),a1751eb6-4164-4d98-b116-bb0909298447,,,,,72100010,0,0
3618816783,1_平日(共通),105e7350-69a2-4854-b243-e179b6ed0125,,,,,72100010,0,0
