daiya_sid,bin_no,course_sid
96b67776-f1d3-443b-91ab-00158e64bbe9,2,e0941658-b99f-48d1-81b2-029fe1e89384
51dabb3d-6a6c-499f-88d2-2c5a4353db79,1,e0941658-b99f-48d1-81b2-029fe1e89384
e029480a-5a71-4d8f-8922-31be0f2976a3,2,e0941658-b99f-48d1-81b2-029fe1e89384
fdb6dfaf-0f98-466a-b460-711bd025d4de,3,e0941658-b99f-48d1-81b2-029fe1e89384
821243f0-5702-44e2-a675-7748c1a3c3d6,2,e0941658-b99f-48d1-81b2-029fe1e89384
b93dea8d-ca59-4df8-bea8-bcfb69cbb2f8,1,e0941658-b99f-48d1-81b2-029fe1e89384
7df46b0d-dce3-46b3-bc15-de78f7622497,1,e0941658-b99f-48d1-81b2-029fe1e89384
cfa70f57-2ddd-4647-97d1-f6720eb7d806,1,ba075575-e8b1-4ff2-a7bf-04227ca3bf70
d2ec651b-14e2-4d6f-a919-84f2e5a51d52,1,ba075575-e8b1-4ff2-a7bf-04227ca3bf70
efe5dcda-e67a-4402-8ed4-10ad8772e5ff,1,ba075575-e8b1-4ff2-a7bf-04227ca3bf70
d0c971c3-881f-40a8-a51d-35f85bdb05cd,3,679fb861-177f-4f73-ab5a-056c44a7d52d
0eb8e79a-535c-4c28-bd74-49172af9a90e,1,679fb861-177f-4f73-ab5a-056c44a7d52d
6883ad96-77e9-476a-83ec-f3424cbc7e6f,2,679fb861-177f-4f73-ab5a-056c44a7d52d
4202e4bd-f8c3-4442-ba5f-a3a686623b7d,4,679fb861-177f-4f73-ab5a-056c44a7d52d
5b20007b-9be1-4632-b405-9f8dd515d6d7,1,9d2688a0-6f79-47e4-b91a-05cac37109db
9de987a5-cefa-4bb5-a0bb-9afdc9a599ee,2,9d2688a0-6f79-47e4-b91a-05cac37109db
543176c6-b16c-46d7-8f00-a9ee7aaa5593,1,f9336243-dfa8-47e5-a33a-0ed5e374ae24
0f2c7df6-5f17-4fcf-9b5b-78729f5fd6e8,1,f9336243-dfa8-47e5-a33a-0ed5e374ae24
68c15737-5254-4f8a-91e5-2375622e847b,1,f9336243-dfa8-47e5-a33a-0ed5e374ae24
70144398-9a5d-4f0c-8423-d2b17fd0ff4e,1,7af3871f-6e4f-49fe-888e-110298632087
086f1a7b-561f-4a65-805e-dbb5c82a84f3,3,6913486c-5f3b-47a0-b048-11519caf42aa
d731d709-8ae9-4338-b360-a76c8e1180b0,1,6913486c-5f3b-47a0-b048-11519caf42aa
e5be3a5a-9ee7-4df7-9a46-a02b074c529f,1,6913486c-5f3b-47a0-b048-11519caf42aa
94c5abf2-e66d-4f62-9cf1-62031d99d592,2,6913486c-5f3b-47a0-b048-11519caf42aa
2f74fc3b-9bb7-4a0d-a71d-6f4ad87430ee,1,6913486c-5f3b-47a0-b048-11519caf42aa
8e76dd15-ee59-45e4-b3ef-5117cc59cc5c,2,6913486c-5f3b-47a0-b048-11519caf42aa
a0c7d83e-f1f8-4a3f-8998-17cdf559f78e,3,6913486c-5f3b-47a0-b048-11519caf42aa
4a9cf8aa-979d-4a51-9943-0402c47fa9c8,4,6913486c-5f3b-47a0-b048-11519caf42aa
033209f8-f65a-4296-be06-330170611528,2,6913486c-5f3b-47a0-b048-11519caf42aa
575b579a-166a-46d9-ad24-44e5319c47a8,3,6913486c-5f3b-47a0-b048-11519caf42aa
0d8ca190-c98f-4b2d-b180-a2742877a948,1,18fa4c21-dadb-431b-9302-12f3cc310ce0
65ad6559-d1f1-46a6-8148-efef35032c11,2,8e800e1f-d933-45ba-b62b-14d0721c6544
3e7ca116-04fb-4548-b4ae-e489a9419181,3,8e800e1f-d933-45ba-b62b-14d0721c6544
0029c8ca-788f-45c2-b4a4-47b10216d9f3,1,8e800e1f-d933-45ba-b62b-14d0721c6544
1bebf1c3-482c-4f94-a65d-2fb263e13de4,1,8e800e1f-d933-45ba-b62b-14d0721c6544
47f3c013-7ac5-463a-9033-55daad80d37d,1,8e800e1f-d933-45ba-b62b-14d0721c6544
ae6f390f-c232-4563-8869-6830d96bfd95,1,fecf8142-e082-474e-98f1-16c665cfbdf7
25cd3a0f-3ac0-42af-91e4-8706fff3fdb2,1,fecf8142-e082-474e-98f1-16c665cfbdf7
dca789f2-8219-48bb-b38d-cd7d333885df,2,fecf8142-e082-474e-98f1-16c665cfbdf7
9ec0ac26-e349-4cb6-aba7-dcaa2492d9ac,2,fecf8142-e082-474e-98f1-16c665cfbdf7
5586b01f-a8a0-47a1-a825-abfdc9a7942c,2,e5446d03-4b87-4e20-9c2c-196c86a05406
79ca5e16-7c72-4395-9081-6a8da13bfe29,1,e5446d03-4b87-4e20-9c2c-196c86a05406
34228053-b7d6-4970-8645-4d21c80e1e77,1,e5446d03-4b87-4e20-9c2c-196c86a05406
b0f87b45-c925-4cfa-8295-42e8cbd83312,1,e5446d03-4b87-4e20-9c2c-196c86a05406
78d1860e-f246-419f-9a80-401618f704d7,2,e5446d03-4b87-4e20-9c2c-196c86a05406
4a8a3d2a-436f-475a-ad45-1166897d3f66,1,3cbf6362-e5d7-4b44-b63e-1b50a291a9e7
92aef150-4d37-4280-92ee-b027b71000ac,2,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
201be31c-627b-495f-a779-e615918313b1,3,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
3cb4c97e-3a6c-4521-8988-ee515ba38ab4,1,30cc50fd-8b7b-441a-ae3e-1b9a18b1724a
d96ab06c-3ab8-4da4-ab93-f00da86c8038,2,68441bbc-0b46-49e5-8b8f-2070367d1799
a1751eb6-4164-4d98-b116-bb0909298447,1,68441bbc-0b46-49e5-8b8f-2070367d1799
105e7350-69a2-4854-b243-e179b6ed0125,6,68441bbc-0b46-49e5-8b8f-2070367d1799
2a7b268f-bdd2-4278-ab86-27896f21fad5,4,68441bbc-0b46-49e5-8b8f-2070367d1799
45b5e5ce-65b4-489a-a5f5-3f34e19d07cd,3,68441bbc-0b46-49e5-8b8f-2070367d1799
cbfb96f5-d6a0-42f6-ba62-3d22ffee8cf2,8,68441bbc-0b46-49e5-8b8f-2070367d1799
6ddaf6e8-37ab-4f8f-85f6-7a9c6fc6c584,7,68441bbc-0b46-49e5-8b8f-2070367d1799
9a245daa-ee6b-49b8-8e5b-7ca01748e4d5,5,68441bbc-0b46-49e5-8b8f-2070367d1799
df247d2b-1ba5-45ed-9362-aac052d07eb1,1,29920ace-bc93-4b8f-bf51-2356743c1c54
6a68f032-b0a0-4351-93fc-d1793745ba25,1,64eed813-73a9-4d12-b87c-23de8ea34c07
13160147-5208-4bc7-aa65-fd58dc2c3788,3,64eed813-73a9-4d12-b87c-23de8ea34c07
37e3a57c-6c3f-412a-8b34-84043eb2eeb3,6,64eed813-73a9-4d12-b87c-23de8ea34c07
65afb7be-2b98-45bd-b78f-655040b2fe5e,1,64eed813-73a9-4d12-b87c-23de8ea34c07
819d4049-4329-4036-84da-246eba5c906c,1,64eed813-73a9-4d12-b87c-23de8ea34c07
d706fa99-ade4-4394-bdf2-232de1a951e5,5,64eed813-73a9-4d12-b87c-23de8ea34c07
c2c361b1-823d-4631-93d0-05b4a18971c7,4,64eed813-73a9-4d12-b87c-23de8ea34c07
2d98066d-cdaa-47d3-8d57-075574e8f2b9,2,64eed813-73a9-4d12-b87c-23de8ea34c07
8165c86c-8911-4ee3-95ec-138451476a59,2,95bd9670-e784-4f50-bb4b-2505abdf4885
5ece90ee-3b0a-4861-bf20-4d3e5eb72f04,1,95bd9670-e784-4f50-bb4b-2505abdf4885
