trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
ffcc641d-2bb6-4182-beac-01047ccc10fb,19:05:00,19:05:00,70000 2,1,フジハイツ第二公園,0,1,,
ffcc641d-2bb6-4182-beac-01047ccc10fb,19:08:00,19:08:00,71180 2,2,フジハイツ第二公園,0,0,,
ffcc641d-2bb6-4182-beac-01047ccc10fb,19:09:00,19:09:00,71190 2,3,フジハイツ第二公園,0,0,,
ffcc641d-2bb6-4182-beac-01047ccc10fb,19:10:00,19:10:00,71200 2,4,フジハイツ第二公園,0,0,,
ffcc641d-2bb6-4182-beac-01047ccc10fb,19:12:00,19:12:00,71210 4,5,フジハイツ第二公園,0,0,,
ffcc641d-2bb6-4182-beac-01047ccc10fb,19:15:00,19:15:00,71220 1,6,フジハイツ第二公園,1,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:23:00,16:23:00,70650 1,1,西広島駅（己斐）,0,1,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:23:00,16:23:00,70640 1,2,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:24:00,16:24:00,70630 2,3,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:25:00,16:25:00,70570 2,4,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:27:00,16:27:00,70580 2,5,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:28:00,16:28:00,70590 2,6,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:30:00,16:30:00,71300 2,7,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:33:00,16:33:00,71310 2,8,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:35:00,16:35:00,71300 1,9,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:37:00,16:37:00,70930 1,10,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:38:00,16:38:00,71100 1,11,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:41:00,16:41:00,70920 1,12,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:42:00,16:42:00,70940 1,13,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:43:00,16:43:00,70070 1,14,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:44:00,16:44:00,70060 1,15,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:45:00,16:45:00,70050 1,16,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:46:00,16:46:00,70040 1,17,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:47:00,16:47:00,70030 1,18,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:48:00,16:48:00,70020 1,19,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:49:00,16:49:00,70010 1,20,西広島駅（己斐）,0,0,,
1a0c62be-15cd-45b9-bb03-013fa1a68ce7,16:54:00,16:54:00,70000 2,21,西広島駅（己斐）,1,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,10:54:00,10:54:00,70650 1,1,西広島駅（己斐）,0,1,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,10:54:00,10:54:00,70640 1,2,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,10:55:00,10:55:00,70630 2,3,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,10:56:00,10:56:00,70570 2,4,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,10:58:00,10:58:00,70580 2,5,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,10:59:00,10:59:00,70590 2,6,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:01:00,11:01:00,71300 2,7,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:04:00,11:04:00,71310 2,8,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:06:00,11:06:00,71300 1,9,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:08:00,11:08:00,70930 1,10,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:09:00,11:09:00,71100 1,11,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:12:00,11:12:00,70920 1,12,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:13:00,11:13:00,70940 1,13,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:14:00,11:14:00,70070 1,14,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:15:00,11:15:00,70060 1,15,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:16:00,11:16:00,70050 1,16,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:17:00,11:17:00,70040 1,17,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:18:00,11:18:00,70030 1,18,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:19:00,11:19:00,70020 1,19,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:20:00,11:20:00,70010 1,20,西広島駅（己斐）,0,0,,
b6f998b7-5c9f-4f91-9aa8-0165df17f74d,11:25:00,11:25:00,70000 2,21,西広島駅（己斐）,1,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:03:00,11:03:00,70000 2,1,ジ アウトレット 広島,0,1,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:05:00,11:05:00,70020 2,2,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:06:00,11:06:00,70030 2,3,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:07:00,11:07:00,70040 2,4,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:08:00,11:08:00,70050 2,5,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:09:00,11:09:00,70060 2,6,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:11:00,11:11:00,70070 3,7,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:12:00,11:12:00,70940 2,8,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:13:00,11:13:00,70920 3,9,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:14:00,11:14:00,71100 2,10,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:16:00,11:16:00,70930 2,11,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:18:00,11:18:00,71300 2,12,ジ アウトレット 広島,0,0,,
b4c9bc28-cc03-4a6f-81e0-01823130b114,11:23:00,11:23:00,71310 1,13,ジ アウトレット 広島,1,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:05:00,19:05:00,71170 6,1,共立ハイツ,0,1,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:11:00,19:11:00,71130 33,2,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:13:00,19:13:00,71080 3,3,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:15:00,19:15:00,71070 2,4,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:18:00,19:18:00,71260 2,5,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:26:00,19:26:00,70000 3,6,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:27:00,19:27:00,71050 4,7,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:28:00,19:28:00,71040 2,8,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:32:00,19:32:00,71020 5,9,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:32:00,19:32:00,71000 2,10,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:33:00,19:33:00,70990 2,11,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:35:00,19:35:00,70980 2,12,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:36:00,19:36:00,70970 2,13,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:37:00,19:37:00,70220 2,14,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:38:00,19:38:00,70210 2,15,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:39:00,19:39:00,70230 2,16,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:40:00,19:40:00,70240 2,17,共立ハイツ,0,0,,
fbfdf3be-baea-415d-b5e8-01a6a9e367e9,19:44:00,19:44:00,70250 1,18,共立ハイツ,1,0,,
71b35fc9-609f-4662-a064-01a73feaef72,07:19:00,07:19:00,70000 3,1,学院東門前,0,1,,
71b35fc9-609f-4662-a064-01a73feaef72,07:20:00,07:20:00,71050 4,2,学院東門前,0,0,,
