station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
7160cece-13d7-41fc-9777-764a49dbdcb3,ffcc641d-2bb6-4182-beac-01047ccc10fb,,,1,11-8,フジハイツ第二公園,
29ff3223-f8c3-484b-a32a-8cf1dfada432,ffcc641d-2bb6-4182-beac-01047ccc10fb,,,2,11-8,フジハイツ第二公園,
0c8cabd2-3863-4df6-b24f-1880fc8623d2,ffcc641d-2bb6-4182-beac-01047ccc10fb,,,3,11-8,フジハイツ第二公園,
ea773e7d-df53-4149-b27f-7bb5355e288a,ffcc641d-2bb6-4182-beac-01047ccc10fb,,,4,11-8,フジハイツ第二公園,
793fc1af-fe18-4449-9981-53cbe7aa1cb3,ffcc641d-2bb6-4182-beac-01047ccc10fb,,,5,11-8,フジハイツ第二公園,
19fd7f79-cc42-4b43-a442-65793cee2ba4,ffcc641d-2bb6-4182-beac-01047ccc10fb,,,6,11-8,フジハイツ第二公園,
4889b5b0-4e54-46a6-a578-9567ae29a6ce,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,1,17-1,西広島駅,ジ アウトレット広島
bee52274-27e6-4cd9-a6a7-bba1ad0aacb6,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,2,17-1,西広島駅,ジ アウトレット広島
7127a20e-29c6-4058-8e17-05bcccc579b9,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,3,17-1,西広島駅,ジ アウトレット広島
d82c3d78-e34c-48ff-86c7-b4dfbbb399f1,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,4,17-1,西広島駅,ジ アウトレット広島
7809db1f-3e39-48bd-bd25-1ae4dcdf127a,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,5,17-1,西広島駅,ジ アウトレット広島
83e8624c-ee36-430f-b501-9762c1f09bf2,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,6,17-1,西広島駅,ジ アウトレット広島
2598f558-48a8-487b-87b9-97a65edd9cf7,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,7,17-1,西広島駅,ジ アウトレット広島
49126e15-52ed-46d2-8b2b-bd39a02150fe,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,8,17-1,西広島駅,己斐上三丁目
7a180e83-0bb0-4c65-ad1c-543db77bd8ae,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,9,17-1,西広島駅,己斐上三丁目
eefe76b7-79b3-4e63-9e0f-788bdcf3ab03,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,10,17-1,西広島駅,己斐上三丁目
b4ea4a4e-bfb0-498e-96b8-65311fd99208,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,11,17-1,西広島駅,己斐上三丁目
74975e85-eec5-4dcd-8a09-89d3db328672,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,12,17-1,西広島駅,己斐上三丁目
8675c2e9-69f4-4a55-bf12-add4f9637280,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,13,17,西広島駅,
060162d6-9f9a-4221-b575-8be374835ce8,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,14,17,西広島駅,
2471bf43-ead0-4d80-adc8-73ec897d52d3,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,15,17,西広島駅,
1e67cad2-d195-4229-82ad-aea0dbf943f5,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,16,17,西広島駅,
aeb5683b-c92b-477c-a741-4ad440b13c7f,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,17,17,西広島駅,
3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,18,17,西広島駅,
f9f4930c-8b77-40ed-a505-801729fbb61b,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,19,17,西広島駅,
af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,20,17,西広島駅,
7160cece-13d7-41fc-9777-764a49dbdcb3,1a0c62be-15cd-45b9-bb03-013fa1a68ce7,,,21,17,西広島駅,
4889b5b0-4e54-46a6-a578-9567ae29a6ce,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,1,17-1,西広島駅,ジ アウトレット広島
bee52274-27e6-4cd9-a6a7-bba1ad0aacb6,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,2,17-1,西広島駅,ジ アウトレット広島
7127a20e-29c6-4058-8e17-05bcccc579b9,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,3,17-1,西広島駅,ジ アウトレット広島
d82c3d78-e34c-48ff-86c7-b4dfbbb399f1,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,4,17-1,西広島駅,ジ アウトレット広島
7809db1f-3e39-48bd-bd25-1ae4dcdf127a,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,5,17-1,西広島駅,ジ アウトレット広島
83e8624c-ee36-430f-b501-9762c1f09bf2,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,6,17-1,西広島駅,ジ アウトレット広島
2598f558-48a8-487b-87b9-97a65edd9cf7,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,7,17-1,西広島駅,ジ アウトレット広島
49126e15-52ed-46d2-8b2b-bd39a02150fe,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,8,17-1,西広島駅,己斐上三丁目
7a180e83-0bb0-4c65-ad1c-543db77bd8ae,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,9,17-1,西広島駅,己斐上三丁目
eefe76b7-79b3-4e63-9e0f-788bdcf3ab03,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,10,17-1,西広島駅,己斐上三丁目
b4ea4a4e-bfb0-498e-96b8-65311fd99208,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,11,17-1,西広島駅,己斐上三丁目
74975e85-eec5-4dcd-8a09-89d3db328672,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,12,17-1,西広島駅,己斐上三丁目
8675c2e9-69f4-4a55-bf12-add4f9637280,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,13,17,西広島駅,
060162d6-9f9a-4221-b575-8be374835ce8,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,14,17,西広島駅,
2471bf43-ead0-4d80-adc8-73ec897d52d3,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,15,17,西広島駅,
1e67cad2-d195-4229-82ad-aea0dbf943f5,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,16,17,西広島駅,
aeb5683b-c92b-477c-a741-4ad440b13c7f,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,17,17,西広島駅,
3d3a76ea-8424-4d8d-8853-d3aaa97a8efe,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,18,17,西広島駅,
f9f4930c-8b77-40ed-a505-801729fbb61b,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,19,17,西広島駅,
af06f0a6-cc6a-4a12-8a8c-a11fcaa68d93,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,20,17,西広島駅,
7160cece-13d7-41fc-9777-764a49dbdcb3,b6f998b7-5c9f-4f91-9aa8-0165df17f74d,,,21,17,西広島駅,
7160cece-13d7-41fc-9777-764a49dbdcb3,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,1,17-2,ジ アウトレット広島,己斐上三丁目
73950e9a-ffea-4f5b-bddf-ce569c728845,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,2,17-2,ジ アウトレット広島,己斐上三丁目
88f24568-c381-444c-aece-bc610971c743,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,3,17-2,ジ アウトレット広島,己斐上三丁目
ad949f18-c43c-49b4-9064-ac245d1889a7,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,4,17-2,ジ アウトレット広島,己斐上三丁目
95e4bd37-f41c-4c4b-9ec5-acd72ac42cb2,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,5,17-2,ジ アウトレット広島,己斐上三丁目
3f710563-a4f9-4e70-bd6e-f4ada406cca7,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,6,17-2,ジ アウトレット広島,己斐上三丁目
934fda6c-f740-449b-909d-9933f5e9eec4,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,7,17-2,ジ アウトレット広島,己斐上三丁目
e5732c85-3563-4d97-aea9-4d1fe871531e,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,8,17-2,ジ アウトレット広島,
1794c01d-42af-4f6e-a8d4-9dc8f0c0ea3e,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,9,17-2,ジ アウトレット広島,
61722a69-6e6c-4964-bce9-7dcbeec99bea,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,10,17-2,ジ アウトレット広島,
50d579e7-13e9-478d-9168-5aa15c764cd5,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,11,17-2,ジ アウトレット広島,
2598f558-48a8-487b-87b9-97a65edd9cf7,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,12,17-2,ジ アウトレット広島,
17a91a50-ee30-40ec-9e6a-7d669329dade,b4c9bc28-cc03-4a6f-81e0-01823130b114,,,13,17-2,ジ アウトレット広島,
7a801867-706b-4938-9ef5-b2029061bc39,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,1,14,高須台・共立ハイツ,西広島駅
66dcd7d3-f1d8-4e7f-9808-29285bfc6906,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,2,14,高須台・共立ハイツ,西広島駅
2378ce80-2696-4390-8bae-7dd037d573d8,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,3,14,高須台・共立ハイツ,西広島駅
40fb3a5c-d6e2-4ea0-a6b7-91c0014d8325,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,4,14,高須台・共立ハイツ,西広島駅
4615c899-dfd6-4b7b-a3a0-00cf37c34b25,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,5,14,高須台・共立ハイツ,西広島駅
ed3feacc-197d-4959-94e2-d584545b31e8,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,6,14,高須台・共立ハイツ,
16e2288d-13cb-4092-8bca-6a6438f4d379,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,7,14,高須台・共立ハイツ,
59f11d12-2134-43cf-bcea-d97f3f183a50,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,8,14,高須台・共立ハイツ,
881ff075-5735-4b2b-a69d-71d6cd3161aa,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,9,14,共立ハイツ,
2148e6a0-359b-4d87-ae98-876a96f74d9b,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,10,14,共立ハイツ,
831d5bfd-0d14-40ba-a0f6-c93d7960efc2,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,11,14,共立ハイツ,
09d2ecee-a6bb-49a5-b0de-d37cc5da64a7,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,12,14,共立ハイツ,
68bd0fea-ef63-4e51-96bf-b4316305bd28,fbfdf3be-baea-415d-b5e8-01a6a9e367e9,,,13,14,共立ハイツ,
