daiya_sid,bin_no,course_sid
1a81a813-6101-480f-a9f7-198ac0f1251a,7,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
92e47428-8223-478c-afa5-1e9f8d1cfcd7,1,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
99370301-4289-4c16-99d3-1ed5f5059e0f,6,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
0c6a9ca0-9dd5-4d6d-a870-2253b62179c0,8,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
3e29b93e-269d-4b9b-a8c0-325c6824b17f,9,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
e05c3aed-f24a-4e4d-9dc0-3e6ed141feee,5,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
6d403283-1fbe-455c-8955-4fcaf41d2ba5,6,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
af906f64-408f-4bf5-b5c6-61262bc0ffb0,1,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
611f8b31-6da6-4e25-a2be-675d2ff99f17,2,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
11707369-077f-4fc6-b37c-6a6f28d0d746,7,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
baf66a1b-b7b0-4956-847a-6e11cffce35a,7,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
d1173156-7fd1-4f81-afab-732072e25d55,1,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
4d9d640e-42ba-4157-ab65-7757ea93d8cc,5,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
b4fa675b-3a45-4dd1-a96e-7c4f66205f89,4,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
4e90ff90-137d-49ca-bdf7-7f6ff19df4c1,4,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
0b4a4f70-c4aa-4bff-bd99-903ddd2308d6,3,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
21a1df19-8a2c-41e2-b8dd-9ec7438128c5,8,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
b3609c50-c20d-4424-b954-acf6a3ad70c6,4,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
4fa17a84-3d7a-4578-8b0e-b4c2ad0e1d3a,2,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
d9dffc06-57e4-4048-915f-bd30a0e83097,2,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
82b77698-a54c-4cac-b8a8-bf982868f68b,3,bf86ef8b-0931-409f-ab0a-009d91c6fe9d
