"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"1_1369_20251229","1","1","1","1","1","0","0","20251229","20251230"
"1_1370_20251229","0","0","0","0","0","1","0","20251229","20251230"
"1_1371_20251229","0","0","0","0","0","0","1","20251229","20251230"
"1_1369_20251231","1","1","1","1","1","0","0","20251231","20260528"
"1_1370_20251231","0","0","0","0","0","1","0","20251231","20260528"
"1_1371_20251231","0","0","0","0","0","0","1","20251231","20260528"
"2_1368_20251229","1","1","1","1","1","0","0","20251229","20251230"
"2_1372_20251229","0","0","0","0","0","1","0","20251229","20251230"
"2_1373_20251229","0","0","0","0","0","0","1","20251229","20251230"
"2_1368_20251231","1","1","1","1","1","0","0","20251231","20260528"
"2_1372_20251231","0","0","0","0","0","1","0","20251231","20260528"
"2_1373_20251231","0","0","0","0","0","0","1","20251231","20260528"
"3_1374_20251229","1","1","1","1","1","0","0","20251229","20251230"
"3_1375_20251229","0","0","0","0","0","1","0","20251229","20251230"
"3_1376_20251229","0","0","0","0","0","0","1","20251229","20251230"
"3_1374_20251231","1","1","1","1","1","0","0","20251231","20260528"
"3_1375_20251231","0","0","0","0","0","1","0","20251231","20260528"
"3_1376_20251231","0","0","0","0","0","0","1","20251231","20260528"
"4_1377_20251229","1","1","1","1","1","0","0","20251229","20251230"
"4_1378_20251229","0","0","0","0","0","1","0","20251229","20251230"
"4_1379_20251229","0","0","0","0","0","0","1","20251229","20251230"
"4_1377_20251231","1","1","1","1","1","0","0","20251231","20260528"
"4_1378_20251231","0","0","0","0","0","1","0","20251231","20260528"
"4_1379_20251231","0","0","0","0","0","0","1","20251231","20260528"
