"service_id","date","exception_type"
"1_1369_20251229","20251229","2"
"1_1380_20251229","20251229","1"
"1_1369_20251229","20251230","2"
"1_1380_20251229","20251230","1"
"1_1369_20251231","20251231","2"
"1_1380_20251231","20251231","1"
"1_1369_20251231","20260101","2"
"1_1380_20251231","20260101","1"
"1_1369_20251231","20260102","2"
"1_1380_20251231","20260102","1"
"1_1370_20251231","20260103","2"
"1_1380_20251231","20260103","1"
"1_1369_20251231","20260112","2"
"1_1371_20251231","20260112","1"
"1_1369_20251231","20260211","2"
"1_1371_20251231","20260211","1"
"1_1369_20251231","20260223","2"
"1_1371_20251231","20260223","1"
"1_1369_20251231","20260320","2"
"1_1371_20251231","20260320","1"
"2_1368_20251229","20251229","2"
"2_1381_20251229","20251229","1"
"2_1368_20251229","20251230","2"
"2_1381_20251229","20251230","1"
"2_1368_20251231","20251231","2"
"2_1381_20251231","20251231","1"
"2_1368_20251231","20260101","2"
"2_1381_20251231","20260101","1"
"2_1368_20251231","20260102","2"
"2_1381_20251231","20260102","1"
"2_1372_20251231","20260103","2"
"2_1381_20251231","20260103","1"
"2_1368_20251231","20260112","2"
"2_1373_20251231","20260112","1"
"2_1368_20251231","20260211","2"
"2_1373_20251231","20260211","1"
"2_1368_20251231","20260223","2"
"2_1373_20251231","20260223","1"
"2_1368_20251231","20260320","2"
"2_1373_20251231","20260320","1"
"3_1374_20251229","20251229","2"
"3_1382_20251229","20251229","1"
"3_1374_20251229","20251230","2"
"3_1382_20251229","20251230","1"
"3_1374_20251231","20251231","2"
"3_1382_20251231","20251231","1"
"3_1374_20251231","20260101","2"
"3_1382_20251231","20260101","1"
"3_1374_20251231","20260102","2"
"3_1382_20251231","20260102","1"
"3_1375_20251231","20260103","2"
"3_1382_20251231","20260103","1"
"3_1374_20251231","20260112","2"
"3_1376_20251231","20260112","1"
"3_1374_20251231","20260211","2"
"3_1376_20251231","20260211","1"
"3_1374_20251231","20260223","2"
"3_1376_20251231","20260223","1"
"3_1374_20251231","20260320","2"
"3_1376_20251231","20260320","1"
"4_1377_20251229","20251229","2"
"4_1383_20251229","20251229","1"
"4_1377_20251229","20251230","2"
"4_1383_20251229","20251230","1"
"4_1377_20251231","20251231","2"
"4_1383_20251231","20251231","1"
"4_1377_20251231","20260101","2"
"4_1383_20251231","20260101","1"
"4_1377_20251231","20260102","2"
"4_1383_20251231","20260102","1"
"4_1378_20251231","20260103","2"
"4_1383_20251231","20260103","1"
"4_1377_20251231","20260112","2"
"4_1379_20251231","20260112","1"
"4_1377_20251231","20260211","2"
"4_1379_20251231","20260211","1"
"4_1377_20251231","20260223","2"
"4_1379_20251231","20260223","1"
"4_1377_20251231","20260320","2"
"4_1379_20251231","20260320","1"
