"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"1_34_20251229","20251229",,,
"1_41_20251229","20251229",,,
"1_47_20251229","20251229",,,
"1_49_20251229","20251229",,,
"1_62_20251229","20251229",,,
"1_64_20251229","20251229",,,
"1_67_20251229","20251229",,,
"1_72_20251229","20251229",,,
"1_73_20251229","20251229",,,
"1_79_20251229","20251229",,,
"1_80_20251229","20251229",,,
"1_81_20251229","20251229",,,
"1_84_20251229","20251229",,,
"1_86_20251229","20251229",,,
"1_87_20251229","20251229",,,
"1_88_20251229","20251229",,,
"1_89_20251229","20251229",,,
"1_91_20251229","20251229",,,
"1_95_20251229","20251229",,,
"1_98_20251229","20251229",,,
"1_101_20251229","20251229",,,
"1_102_20251229","20251229",,,
"1_103_20251229","20251229",,,
"1_104_20251229","20251229",,,
"1_108_20251229","20251229",,,
"1_110_20251229","20251229",,,
"1_111_20251229","20251229",,,
"1_121_20251229","20251229",,,
"1_125_20251229","20251229",,,
"1_146_20251229","20251229",,,
"1_148_20251229","20251229",,,
"1_163_20251229","20251229",,,
"1_166_20251229","20251229",,,
"1_168_20251229","20251229",,,
"1_179_20251229","20251229",,,
"1_215_20251229","20251229",,,
"1_501_20251229","20251229",,,
"1_605_20251229","20251229",,,
"3_138_20251231","20251231",,,
