service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1_平日(共通),1,1,1,1,1,0,0,20260111,20260711
1_土曜(共通),0,0,0,0,0,1,0,20260111,20260711
1_日祝(共通),0,0,0,0,0,0,1,20260111,20260711
2_平日(共通),1,1,1,1,1,0,0,20260111,20260711
2_土曜(共通),0,0,0,0,0,1,0,20260111,20260711
2_日祝(共通),0,0,0,0,0,0,1,20260111,20260711
3_平日(共通),1,1,1,1,1,0,0,20260111,20260711
3_土曜(共通),0,0,0,0,0,1,0,20260111,20260711
3_日祝(共通),0,0,0,0,0,0,1,20260111,20260711
4_平日(共通),1,1,1,1,1,0,0,20260111,20260711
4_土曜(共通),0,0,0,0,0,1,0,20260111,20260711
4_日祝(共通),0,0,0,0,0,0,1,20260111,20260711
5_平日(共通),1,1,1,1,1,0,0,20260111,20260711
5_土曜(共通),0,0,0,0,0,1,0,20260111,20260711
5_日祝(共通),0,0,0,0,0,0,1,20260111,20260711
