station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
a5515b53-99f5-41aa-aa69-89b2f7607957,77ea52ed-2158-48d3-99ef-0000894e35fc,,,1,,三原駅・三原営業所,三原警察，宮浦中央
29b44ec7-1b0b-4711-9fd8-589114c37c4f,77ea52ed-2158-48d3-99ef-0000894e35fc,,,2,,三原駅・三原営業所,三原警察，宮浦中央
a026b64f-33f8-4de0-a2ff-4313a091c28b,77ea52ed-2158-48d3-99ef-0000894e35fc,,,3,,三原駅・三原営業所,三原警察，宮浦中央
feecfb27-2407-491f-8efe-9419b6551798,77ea52ed-2158-48d3-99ef-0000894e35fc,,,4,,三原駅・三原営業所,三原警察，宮浦中央
f57b0aac-d38f-4144-b902-35677b4fde7b,77ea52ed-2158-48d3-99ef-0000894e35fc,,,5,,三原駅・三原営業所,三原警察，宮浦中央
6ec000d5-9f40-40cc-ae3b-248eb1ab4a3d,77ea52ed-2158-48d3-99ef-0000894e35fc,,,6,,三原駅・三原営業所,三原警察，宮浦中央
66bc8661-3e65-4021-b5f3-561523236819,77ea52ed-2158-48d3-99ef-0000894e35fc,,,7,,三原駅・三原営業所,三原警察，宮浦中央
b3c390e8-8dcb-4eaa-afe6-03a8dcf8ae42,77ea52ed-2158-48d3-99ef-0000894e35fc,,,8,,三原駅・三原営業所,三原警察，宮浦中央
6303f2f4-401c-405e-8a2e-d3bb58846d3e,77ea52ed-2158-48d3-99ef-0000894e35fc,,,9,,三原駅・三原営業所,三原警察，宮浦中央
f0fbf96b-29b8-4bca-96e1-331965337a39,77ea52ed-2158-48d3-99ef-0000894e35fc,,,10,,三原駅・三原営業所,三原警察，宮浦中央
b701952d-c115-4e6d-866c-bf05ccfda854,77ea52ed-2158-48d3-99ef-0000894e35fc,,,11,,三原駅・三原営業所,三原警察，宮浦中央
5f9dea8f-bc39-4307-8582-e78b5d239943,77ea52ed-2158-48d3-99ef-0000894e35fc,,,12,,三原駅・三原営業所,宮浦中央
e5d3a6dd-49ed-4525-8dd2-2daf4c095407,77ea52ed-2158-48d3-99ef-0000894e35fc,,,13,,三原駅・三原営業所,宮浦中央
c4e30655-fd64-4faa-8df6-3d24b091633b,77ea52ed-2158-48d3-99ef-0000894e35fc,,,14,,三原駅・三原営業所,宮浦中央
4c44a69a-7022-412e-bcf7-84d6dc740acd,77ea52ed-2158-48d3-99ef-0000894e35fc,,,15,,三原駅・三原営業所,
0127932a-06c1-40e1-9d60-320021d6d37c,77ea52ed-2158-48d3-99ef-0000894e35fc,,,16,,三原駅・三原営業所,
e0ff65f5-730a-4fd9-b2a8-808f48e36631,77ea52ed-2158-48d3-99ef-0000894e35fc,,,17,,三原駅・三原営業所,
b54f62f3-c48c-4496-ba79-766268e5e37f,77ea52ed-2158-48d3-99ef-0000894e35fc,,,18,,三原駅・三原営業所,
1de99f36-bae6-4f35-a8fb-6e50ab9ef2e6,77ea52ed-2158-48d3-99ef-0000894e35fc,,,19,,三原駅・三原営業所,
a0797069-5c59-457f-af1e-69d248478d41,77ea52ed-2158-48d3-99ef-0000894e35fc,,,20,,三原駅・三原営業所,
aabd422c-4262-48f1-9fff-75d69d59876b,77ea52ed-2158-48d3-99ef-0000894e35fc,,,21,,三原営業所,
ef0ef394-b811-4667-bc9f-080076897e30,77ea52ed-2158-48d3-99ef-0000894e35fc,,,22,,三原営業所,
ff2f77ce-be9d-446f-93f9-aad51c9a2121,77ea52ed-2158-48d3-99ef-0000894e35fc,,,23,,三原営業所,
e5df8237-0caf-4344-83b0-44e5c5fd8e7f,77ea52ed-2158-48d3-99ef-0000894e35fc,,,24,,三原営業所,
b2189668-ae15-4f30-b5f1-e1c962b1dccb,77ea52ed-2158-48d3-99ef-0000894e35fc,,,25,,三原営業所,
60b3d631-e1ca-4052-8de2-66a2f61cd70f,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,1,40-2,三迫,向洋，海田
39a64bf4-2129-4163-8d20-0d4118ad7f7b,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,3,40-2,三迫,向洋，海田
66319221-a442-4b64-bc63-0d8028c1498e,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,4,40-2,三迫,向洋，海田
342b294e-a678-461e-b0b8-32c692e2567c,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,5,40-2,三迫,向洋，海田
f6f2ca0f-a2d8-4a7b-94e6-c1f1e333ba37,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,6,40-2,三迫,向洋，海田
12871a43-bed7-4ddb-a1af-2c9e76e8d087,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,7,40-2,三迫,向洋，海田
63a5e33c-d78b-411b-8fb1-b0c435d25192,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,8,40-2,三迫,向洋，海田
81be2fdc-c2a7-4cb8-a84a-90acd56b4e1a,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,9,40-2,三迫,向洋，海田
cc76ebfb-7398-428d-b3a2-55f4e7e8a7fc,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,10,40-2,三迫,向洋，海田
f8dcc042-2a31-4846-b743-191007d6c713,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,11,40-2,三迫,向洋，海田
559653cb-dd51-4dad-a786-ed740406707d,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,12,40-2,三迫,海田
509e101d-625c-40f8-8bc7-facf9c82881d,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,13,40-2,三迫,海田
e0c2e8a3-0c0e-4a8a-9d53-6f5fa5102347,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,14,40-2,三迫,海田
181c985d-eed6-4997-8320-d25c07b06fba,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,15,40-2,三迫,海田
df4531c3-063d-4b51-a9c6-364e0e146183,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,16,40-2,三迫,海田
3b88ca31-e1b2-4572-9fed-493dcbe2ff19,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,17,40-2,三迫,海田
002bf056-c524-410a-946e-513833d07af2,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,18,40-2,三迫,
1cc43de9-6444-4121-aa7f-ed3a030e0acd,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,19,40-2,三迫,
be0084b6-4b2c-42c4-86f5-402fa8d4fffb,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,20,40-2,三迫,
a68f7953-2a7c-4405-9a6d-126eabab9736,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,21,40-2,三迫,
df0d751d-4207-4d3f-8373-e2b3a43828af,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,22,40-2,三迫,
92d206ea-2993-410e-bcfb-8d0ef3e51563,9b91d428-3c90-4fd0-9d0a-002e91ddf760,,,23,40-2,三迫,
