daiya_sid,bin_no,course_sid
5878fa21-f21f-457c-b669-2b4ea58a010f,1,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
d7a36708-e48c-416d-907b-5a9e387789da,1,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
78a9d41f-0a2a-42c1-9bee-6cf31c3fd24a,2,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
c34465d6-779f-47bc-9fd5-81d0fe3b3119,1,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
b8dfb7d0-72b8-47de-933e-bea1554a74b8,4,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
a5e05f35-4501-46bc-a409-bffb0af3ca03,3,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
fcb52dc0-02d2-4917-a4ca-c38de30e0532,2,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
94365d30-159b-4c0c-a807-f6a008116f24,3,7ab7d5de-7c2c-4ce1-99d3-02198cd4e246
2749ce38-745b-4a5e-bd02-f1e57136cae5,1,b7a1250d-0a03-4e3f-b6d7-047053c5c3ca
fbd648b1-f672-478f-85b7-c3404d0c8314,1,b7a1250d-0a03-4e3f-b6d7-047053c5c3ca
89d214ce-46ac-4260-9662-e5c4e62fbfc2,1,b7a1250d-0a03-4e3f-b6d7-047053c5c3ca
98c40562-8e9c-4785-b155-c38701a58977,1,07d4d502-7cee-4490-a902-06d506f267d6
84e8b6db-2aca-42b4-8895-b752dd970515,2,07d4d502-7cee-4490-a902-06d506f267d6
e82c0db5-f707-4c8d-abcd-bd964f948aff,5,07d4d502-7cee-4490-a902-06d506f267d6
ebe244fe-9996-4e36-bc2a-ef59d20e2cea,1,07d4d502-7cee-4490-a902-06d506f267d6
33f36a27-6f3b-49fd-8f52-886b9d262674,1,07d4d502-7cee-4490-a902-06d506f267d6
c5b3d2e8-b703-4d0b-901c-96e752e6ef93,2,07d4d502-7cee-4490-a902-06d506f267d6
19cc8b46-514b-416b-9cd2-684b4d25dd2c,4,07d4d502-7cee-4490-a902-06d506f267d6
756159de-10e0-4b0c-b846-729e972e9183,3,07d4d502-7cee-4490-a902-06d506f267d6
528b3778-38ab-4c86-93c0-2f11646bd316,4,07d4d502-7cee-4490-a902-06d506f267d6
4e608bc8-c0a2-4f8d-9d4f-366b3d4fd5a5,4,07d4d502-7cee-4490-a902-06d506f267d6
af84e5ec-bf16-499a-a8f8-013d25f7c9e6,3,07d4d502-7cee-4490-a902-06d506f267d6
701d97ef-9eed-4220-a3d0-045819a7de8d,3,07d4d502-7cee-4490-a902-06d506f267d6
74682cb0-7cfb-46b8-b43c-0e976f4891ac,2,07d4d502-7cee-4490-a902-06d506f267d6
5556de35-4417-4bce-800e-1491427617ab,5,07d4d502-7cee-4490-a902-06d506f267d6
a8713cd2-c6a0-43f5-a010-1053d6601b09,5,bc30d0d0-3854-4438-b5e1-0831fbde2331
2b0327bc-199d-45ae-8231-0970f1d28856,3,bc30d0d0-3854-4438-b5e1-0831fbde2331
6f684835-d9f9-43c3-8951-3b8138d0430a,1,bc30d0d0-3854-4438-b5e1-0831fbde2331
8a43387c-2e66-4fce-b0e8-2f0acb7fe4f6,4,bc30d0d0-3854-4438-b5e1-0831fbde2331
5986e093-290e-4291-89b7-2d60f16ec03c,4,bc30d0d0-3854-4438-b5e1-0831fbde2331
32ecb5f6-8d9f-4583-95c4-49fad3bcdefa,1,bc30d0d0-3854-4438-b5e1-0831fbde2331
8b3abc9f-8d85-4556-87dc-4cb6826eac35,7,bc30d0d0-3854-4438-b5e1-0831fbde2331
eb6f2297-6060-4330-a593-4d238531a434,8,bc30d0d0-3854-4438-b5e1-0831fbde2331
cb97c4f8-1a86-47b5-aaee-6709bb32f77c,3,bc30d0d0-3854-4438-b5e1-0831fbde2331
520a92a7-4ae3-4568-bb9c-6a7374aa3275,2,bc30d0d0-3854-4438-b5e1-0831fbde2331
d9b70465-09a7-42a5-a69a-93c0cae47978,2,bc30d0d0-3854-4438-b5e1-0831fbde2331
52fc0b1b-a1f1-4ca8-9fe4-8f4d629da95e,1,bc30d0d0-3854-4438-b5e1-0831fbde2331
50075a8f-1666-4bde-be99-98b84d10b881,5,bc30d0d0-3854-4438-b5e1-0831fbde2331
