daiya_sid,bin_no,course_sid
7553311e-3eb2-47bf-818e-023602629551,1,98740a2a-a4e7-4f25-b987-03b4a9aecb50
4c6b53c9-257e-4754-9138-2d922eb159d7,2,98740a2a-a4e7-4f25-b987-03b4a9aecb50
ff993f85-f756-4202-9f33-4547c4231514,2,98740a2a-a4e7-4f25-b987-03b4a9aecb50
ab166eb5-de63-4968-8805-69389560da87,1,98740a2a-a4e7-4f25-b987-03b4a9aecb50
ac538b71-ee60-4477-8999-6d9981f6225e,3,98740a2a-a4e7-4f25-b987-03b4a9aecb50
d4d2252e-9cb8-4652-809a-9f5854b760f9,2,98740a2a-a4e7-4f25-b987-03b4a9aecb50
8e75510e-43df-4b6a-99f3-e5dfd2e8a631,3,98740a2a-a4e7-4f25-b987-03b4a9aecb50
30f738f8-8f08-46df-b62f-ef75d3a49036,1,98740a2a-a4e7-4f25-b987-03b4a9aecb50
d24878aa-abf9-41ad-9083-f15f67f52b3f,1,16e3f1fb-733b-4854-aef1-0a3ab90cc031
5412de88-a1a6-49c4-a107-b20916072ae4,4,16e3f1fb-733b-4854-aef1-0a3ab90cc031
cd226abf-d6ff-4e2e-826d-b326e0809e79,1,16e3f1fb-733b-4854-aef1-0a3ab90cc031
760d966d-959c-4746-a9b5-b51e66fbea1c,2,16e3f1fb-733b-4854-aef1-0a3ab90cc031
4ad84eec-2899-4aa9-8d13-88db75948821,4,16e3f1fb-733b-4854-aef1-0a3ab90cc031
f8c5f2c5-3b88-4ef4-b6d6-8d04bd4a0f57,1,16e3f1fb-733b-4854-aef1-0a3ab90cc031
f6b527f5-c933-4a97-a79b-72cff021f87c,3,16e3f1fb-733b-4854-aef1-0a3ab90cc031
763e267c-987c-4b40-be15-780c4d9c87c4,2,16e3f1fb-733b-4854-aef1-0a3ab90cc031
be62c4a7-4c52-4394-802c-41755e5d4a98,2,16e3f1fb-733b-4854-aef1-0a3ab90cc031
a4de03a6-13be-48a8-ba59-2f195618c64d,5,16e3f1fb-733b-4854-aef1-0a3ab90cc031
a7699bf9-efe0-4b6b-bec7-300ec264c65a,5,16e3f1fb-733b-4854-aef1-0a3ab90cc031
117def5b-3605-4792-8d06-1f9f506f5dc6,3,16e3f1fb-733b-4854-aef1-0a3ab90cc031
37899a9c-44e2-469b-b1d7-26c53b36fbfe,3,16e3f1fb-733b-4854-aef1-0a3ab90cc031
40058b70-bcde-4c3c-a9c9-2b31ba71aefa,4,16e3f1fb-733b-4854-aef1-0a3ab90cc031
c7c0dbc5-ab72-47bd-8981-16bc57b3ac44,11,dc1181e6-b6d7-4319-9265-0b34b270bef9
ee365761-cab5-48fd-aac9-19c76be0cd4d,3,dc1181e6-b6d7-4319-9265-0b34b270bef9
a9df6d4a-6080-4a27-9970-0263520bedad,3,dc1181e6-b6d7-4319-9265-0b34b270bef9
8e8d0153-5aca-44f4-b1b7-0acbaaffc97e,4,dc1181e6-b6d7-4319-9265-0b34b270bef9
cc0a8dc0-9c91-450a-ae66-3149280a95f5,7,dc1181e6-b6d7-4319-9265-0b34b270bef9
1e2805f1-03b1-4354-ad89-3f4a4baae553,6,dc1181e6-b6d7-4319-9265-0b34b270bef9
894de401-3d6c-43c1-9c46-48343bb0a507,7,dc1181e6-b6d7-4319-9265-0b34b270bef9
fe445e76-08d4-4a7b-86c4-52672c5430b9,2,dc1181e6-b6d7-4319-9265-0b34b270bef9
57f5f899-322f-4698-b541-54d00d5924fe,8,dc1181e6-b6d7-4319-9265-0b34b270bef9
798b0a59-ba05-46e9-8030-7855cdda82df,1,dc1181e6-b6d7-4319-9265-0b34b270bef9
028dc0b3-5f8a-4d5c-a89b-7994c2504244,9,dc1181e6-b6d7-4319-9265-0b34b270bef9
2a8f591b-c673-4bb3-abc1-740af6e3b6c1,5,dc1181e6-b6d7-4319-9265-0b34b270bef9
22fcc3d0-8882-4753-a1af-74b5cfe9974d,5,dc1181e6-b6d7-4319-9265-0b34b270bef9
925e6ca9-95ae-4ab7-8b69-68d8d5c3bd2d,3,dc1181e6-b6d7-4319-9265-0b34b270bef9
4501a5d0-9f51-4301-82ca-607ae45c0b3f,7,dc1181e6-b6d7-4319-9265-0b34b270bef9
541842fd-0574-4048-b6fb-927d7e501825,13,dc1181e6-b6d7-4319-9265-0b34b270bef9
390dbb64-43f1-45a4-be27-86b5b52b880f,4,dc1181e6-b6d7-4319-9265-0b34b270bef9
bd1ffdce-ec4d-4192-9d5e-86dbfc2b9cc3,8,dc1181e6-b6d7-4319-9265-0b34b270bef9
358df777-5946-42f9-85fb-a389526c5e99,1,dc1181e6-b6d7-4319-9265-0b34b270bef9
8fdd8e86-ba48-4961-be97-9dc4ef79a845,8,dc1181e6-b6d7-4319-9265-0b34b270bef9
d07cea3d-7bed-411b-8f38-9dc8476f80b6,5,dc1181e6-b6d7-4319-9265-0b34b270bef9
4bf3d16d-8671-4bea-9a9d-b547bcb48457,1,dc1181e6-b6d7-4319-9265-0b34b270bef9
3f447d59-3166-4ecc-bb1a-be60753ef448,2,dc1181e6-b6d7-4319-9265-0b34b270bef9
c52168c9-2b44-475e-926d-c54b4a6f5cd7,12,dc1181e6-b6d7-4319-9265-0b34b270bef9
a717c2e2-1b67-429b-878a-c8df42881092,10,dc1181e6-b6d7-4319-9265-0b34b270bef9
5bca8d61-5f3c-48d8-aabf-c94e7cb937bf,9,dc1181e6-b6d7-4319-9265-0b34b270bef9
b934e4d8-86d7-4ef3-9e9e-d6791ace8eee,9,dc1181e6-b6d7-4319-9265-0b34b270bef9
a9e0637a-e3c8-4991-bae9-ef82893d59fe,6,dc1181e6-b6d7-4319-9265-0b34b270bef9
e2136f1c-d146-4648-9580-ee7c736ad135,4,dc1181e6-b6d7-4319-9265-0b34b270bef9
f6d3e9bc-8b41-4425-8438-fd28650954fd,2,dc1181e6-b6d7-4319-9265-0b34b270bef9
8d79aa02-0ccf-4434-99d5-e26fb989c87e,6,dc1181e6-b6d7-4319-9265-0b34b270bef9
9734a714-5e28-4885-995a-e2746e495cb3,65,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
677b3c20-72b9-4677-b43a-e1361ffb57e0,81,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
031493ae-f5af-4ba8-a915-e1eb25ab3f2d,21,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
f296f21d-d7fc-4cb8-911e-e124ee15f7e8,16,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
acdd0fda-6b0e-4eac-923e-ddd501da8049,30,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
64b5f1bb-1c6a-4e10-b393-de3fe5c87576,19,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
83400c7f-49b4-4cbd-9439-df4b3beb95ad,61,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
cec57741-d9e2-4d94-aa77-d9aff5f851a5,20,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
feb2f970-e8fa-47db-9f6a-dbabbc2d986c,64,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
16a45d77-bcc9-4df8-8a4c-dd2ca4d0c313,56,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
5db6614f-fd15-456e-91c2-e563d2e46109,19,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
2f837386-af0b-40f1-b971-e6666f920725,3,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
fba461dc-10d3-42bd-af70-e7034c547154,23,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
956c594c-21e3-4f9c-b0f5-e3036474502b,51,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
574d9a8f-270e-463d-9bc9-e4b0863ce94d,47,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
61ba6967-9fd2-4e6a-9b3f-e4d3c9993c44,79,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
163f6df2-32ef-41c5-9d9a-e7a56ac8c449,48,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
9fea3988-f1ce-4ea0-a9a9-e959192b6698,17,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
e7aa54ae-9f83-4531-bacd-e9df533ef04b,33,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
906f28c9-413f-49d6-908e-ea8c6ae920fa,34,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
9bd51fa1-645d-4c26-961d-eb3d23e71e1c,67,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
dc306c70-c003-43ee-9b89-fc76d8724f44,43,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
21e0e3e9-8d02-46ca-952d-fcc224d44b2b,10,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
e47f8da7-434f-40d8-971d-fec4fd6040c8,26,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
d340b6ec-4e44-4333-9212-ff1f91bee4e3,36,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
3f7f97f6-d7d5-4d7d-8687-ffc80d84c848,89,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
42987a77-8673-44f1-9b22-ffce4d1f2961,19,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
963e8533-50b9-4859-a304-f76d5e5e2596,51,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
05988359-c8af-47d3-bba6-f77fe85db266,30,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
1929d770-c207-42ea-a6aa-f7c879d6ba2e,64,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
42ff3871-575e-4c54-92ab-f8cad71c55a6,46,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
fc3cac76-113d-4176-9f2b-f8ed0675a2b8,21,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
9927d019-57ba-46e3-8311-fb01ea84f9fb,7,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
996b0ea9-8ab7-42b9-8d2e-ef1556a957a4,27,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
6062c68f-f40e-4f82-b884-ed47e337426d,71,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
16af4eeb-710c-42ce-9674-edce54cf5aa7,31,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
cae30e7d-6194-4e57-9a8d-f2da18b871d5,22,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
66f785a9-534d-4744-80bc-f379e9a19172,66,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
16beb94d-1784-4c32-850d-f4200f89263a,27,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
a1f48304-2302-462b-84d2-f432a2f7cc2f,13,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
9012daf7-e423-4a29-a5f4-f4e66dfd0f6b,63,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
bf5ccb53-5ce7-4670-b39e-f61230e2e17e,9,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
dbbf3402-c590-4108-b3f0-d66fd5f65d56,41,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
eb6c3ec6-caa5-41d6-a54d-d577a633971b,58,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
d943fb7d-85bb-4827-b4e3-d62bbb9fa82d,39,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
849db111-00fd-4215-8393-d75fa6f1fee1,1,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
01f45ae8-7245-489c-852c-d7cc71cc2028,21,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
36d967ff-81b7-4ec2-87be-d31e82005f5d,67,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
01ad54c7-9187-4489-b1b9-d4be5472fe5d,53,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
ac1c1585-db54-4ff3-807b-cc8b1be614b7,37,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
af6cd937-83e0-4003-b461-cdad8f8af3e3,47,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
0dbadef6-9f92-453b-835b-cea202a82a30,9,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
1ba30fa9-be1d-4f46-a051-d25fa2502bd2,27,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
d6e3047e-3bc3-472c-ba77-c96ed0047e59,3,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
34f28076-cb1b-4f84-be4e-c987feeb5cf7,4,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
5d713662-e804-42cc-ac71-c8237eb7cb10,41,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
c1e22d46-364e-413b-bef0-c9f5bf24b43b,43,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
8da0358f-cc03-4124-b500-c6439112b9fd,10,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
236026c8-d8d9-4535-a231-c2366c9d5663,38,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
f0696400-0b1d-4908-832c-bb4d0cef0ad6,32,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
fad68d52-43fa-4af4-b6cc-c04771caa2a9,2,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
0513bb01-647b-4b1c-8b39-b54bfc1d9723,6,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
3741bea8-0c3c-484e-ae96-b5c3a0b88ca7,2,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
cd09488d-3c2b-466f-8ddd-b6cb97872f5d,68,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
94275518-e1af-4382-ae6b-b78547600848,88,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
88ecaf46-8801-4da8-acb9-b829f75e48ed,90,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
0987cf7b-bd42-4f3e-8e4e-b869cd7aabd6,66,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
d576a7ca-3dd1-409d-9435-b89a8aac168d,46,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
c976db2e-a7ef-4eb4-8c09-b8d583bcf8a8,56,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
573e8186-dc17-44f3-9049-b9590fc7c2ab,50,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
fc28a6e9-cef1-4320-b5d5-b9c5c7570371,34,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
9007be86-35fb-4287-85b4-b35c860e2bf2,69,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
4e81e83d-fcc1-4ab7-a654-b3db4166c400,40,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
6a32a66f-1970-47c4-abeb-b420128b5058,53,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
a490ae6f-9a54-4b31-a856-b48571d268d7,13,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
622fa578-9cf6-4e06-b6f5-b0574554ad72,22,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
465d7c8e-81cf-419f-aa6d-b0d964dfeef4,84,b2d9525f-ccde-4e6b-aa67-0d0a3616b303
