service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11_平日(共通),1,1,1,1,1,0,0,20260211,20260811
11_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
11_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
15_平日(共通),1,1,1,1,1,0,0,20260211,20260811
15_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
15_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
16_平日(共通),1,1,1,1,1,0,0,20260211,20260811
16_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
16_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
17_平日(共通),1,1,1,1,1,0,0,20260211,20260811
17_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
17_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
21_平日(共通),1,1,1,1,1,0,0,20260211,20260811
21_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
21_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
24_平日(共通),1,1,1,1,1,0,0,20260211,20260811
24_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
24_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
31_平日(共通),1,1,1,1,1,0,0,20260211,20260811
31_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
31_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
33_平日(共通),1,1,1,1,1,0,0,20260211,20260811
33_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
33_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
35_平日(共通),1,1,1,1,1,0,0,20260211,20260811
35_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
35_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
37_平日(共通),1,1,1,1,1,0,0,20260211,20260811
37_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
37_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
41_平日(共通),1,1,1,1,1,0,0,20260211,20260811
41_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
41_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
51_平日(共通),1,1,1,1,1,0,0,20260211,20260811
51_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
51_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
61_平日(共通),1,1,1,1,1,0,0,20260211,20260811
61_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
61_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
90_平日(共通),1,1,1,1,1,0,0,20260211,20260811
90_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
90_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
98_平日(共通),1,1,1,1,1,0,0,20260211,20260811
98_土曜(共通),0,0,0,0,0,1,0,20260211,20260811
98_日祝(共通),0,0,0,0,0,0,1,20260211,20260811
