station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
040c47b2-9f0d-4968-8d73-9edb1a5a2ff0,22dae5f1-55a2-4015-916e-000904377810,,,1,5,牛田早稲田,牛田本町
35d23ee5-6a17-4142-866c-28ec92734054,22dae5f1-55a2-4015-916e-000904377810,,,2,5,牛田早稲田,牛田本町
f1a971d6-cdbb-41db-bedf-2d73812c57aa,22dae5f1-55a2-4015-916e-000904377810,,,3,5,牛田早稲田,牛田本町
eb8e4961-35aa-4949-9a0e-ed71709a4eec,22dae5f1-55a2-4015-916e-000904377810,,,4,5,牛田早稲田,牛田本町
512bca9c-6485-42f6-8ab4-443f10e11876,22dae5f1-55a2-4015-916e-000904377810,,,5,5,牛田早稲田,牛田本町
7836885d-ef74-4f83-bbe2-4eb43b674d11,22dae5f1-55a2-4015-916e-000904377810,,,6,5,牛田早稲田,牛田本町
7af17cab-bf02-4157-9870-d390bf69d16e,22dae5f1-55a2-4015-916e-000904377810,,,7,5,牛田早稲田,
d122c8fe-6960-455e-b25c-74947ca6a19a,22dae5f1-55a2-4015-916e-000904377810,,,8,5,牛田早稲田,
8a422047-7004-467a-af63-562fe8e454bf,22dae5f1-55a2-4015-916e-000904377810,,,9,5,牛田早稲田,
a0b6a529-a943-4f4a-8cf2-877a7016f6b4,22dae5f1-55a2-4015-916e-000904377810,,,10,5,牛田早稲田,
9c4e1a6e-fdad-4a88-ad80-dc3966bbe35a,22dae5f1-55a2-4015-916e-000904377810,,,11,5,牛田早稲田,
982aa2ad-c0bb-4fc6-9a7c-962109a8dd90,22dae5f1-55a2-4015-916e-000904377810,,,12,5,牛田早稲田,
af25ae0a-5147-437b-8b38-9f978329786b,22dae5f1-55a2-4015-916e-000904377810,,,13,5,牛田早稲田,
9564012f-6608-4007-b549-6138805cf0cc,22dae5f1-55a2-4015-916e-000904377810,,,14,5,牛田早稲田,
