trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
45c7ea62-f083-438d-bc88-0015a27bb95f,14:00:00,14:00:00,4050 1,1,広島駅,0,1,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:01:00,14:01:00,4051 1,2,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:02:00,14:02:00,4052 1,3,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:03:00,14:03:00,4053 1,4,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:03:00,14:03:00,4069 1,5,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:04:00,14:04:00,4054 1,6,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:06:00,14:06:00,4018 1,7,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:07:00,14:07:00,4019 1,8,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:08:00,14:08:00,4020 1,9,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:09:00,14:09:00,1030 3,10,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:10:00,14:10:00,1031 3,11,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:12:00,14:12:00,1032 3,12,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:14:00,14:14:00,1033 3,13,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:16:00,14:16:00,1038 1,14,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:18:00,14:18:00,1039 1,15,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:20:00,14:20:00,1040 1,16,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:22:00,14:22:00,1041 1,17,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:24:00,14:24:00,1042 1,18,広島駅,0,0,,
45c7ea62-f083-438d-bc88-0015a27bb95f,14:28:00,14:28:00,1037 0,19,広島駅,1,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:34:00,16:34:00,6009 1,1,広島バスセンター,0,1,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:34:00,16:34:00,6010 1,2,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:35:00,16:35:00,6011 1,3,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:38:00,16:38:00,6012 1,4,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:39:00,16:39:00,6013 1,5,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:40:00,16:40:00,6046 1,6,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:40:00,16:40:00,6047 1,7,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:42:00,16:42:00,6048 1,8,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:42:00,16:42:00,6049 1,9,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:43:00,16:43:00,6057 1,10,広島バスセンター,0,0,,
daa58cfb-5112-40f4-8866-003b8093cc4a,16:44:00,16:44:00,6058 1,11,広島バスセンター,0,0,,
