"service_id","date","exception_type"
"1_431_20251229","20251229","2"
"1_435_20251229","20251229","1"
"1_431_20251229","20251230","2"
"1_435_20251229","20251230","1"
"1_431_20251229","20251231","2"
"1_435_20251229","20251231","1"
"1_431_20251229","20260101","2"
"1_437_20251229","20260101","1"
"1_431_20251229","20260102","2"
"1_437_20251229","20260102","1"
"1_432_20251229","20260103","2"
"1_437_20251229","20260103","1"
"1_431_20251229","20260112","2"
"1_432_20251229","20260112","1"
"1_431_20251229","20260211","2"
"1_432_20251229","20260211","1"
"1_431_20251229","20260223","2"
"1_432_20251229","20260223","1"
"1_431_20251229","20260320","2"
"1_432_20251229","20260320","1"
"2_433_20251229","20251229","2"
"2_436_20251229","20251229","1"
"2_433_20251229","20251230","2"
"2_436_20251229","20251230","1"
"2_433_20251229","20251231","2"
"2_436_20251229","20251231","1"
"2_433_20251229","20260101","2"
"2_436_20251229","20260101","1"
"2_433_20251229","20260102","2"
"2_436_20251229","20260102","1"
"2_434_20251229","20260103","2"
"2_436_20251229","20260103","1"
"2_433_20251229","20260112","2"
"2_434_20251229","20260112","1"
"2_433_20251229","20260211","2"
"2_434_20251229","20260211","1"
"2_433_20251229","20260223","2"
"2_434_20251229","20260223","1"
"2_433_20251229","20260320","2"
"2_434_20251229","20260320","1"
