"route_id","route_update_date","origin_stop","via_stop","destination_stop"
"2_1_20251229","20251229",,,
"2_7_20251229","20251229",,,
"2_8_20251229","20251229",,,
"2_9_20251229","20251229",,,
"2_17_20251229","20251229",,,
"2_20_20251229","20251229",,,
"2_23_20251229","20251229",,,
"2_25_20251229","20251229",,,
"2_29_20251229","20251229",,,
"1_146_20251229","20251229",,,
"2_150_20251229","20251229",,,
"2_151_20251229","20251229",,,
"2_154_20251229","20251229",,,
"2_155_20251229","20251229",,,
"2_158_20251229","20251229",,,
"2_159_20251229","20251229",,,
"2_168_20251229","20251229",,,
"2_169_20251229","20251229",,,
"2_174_20251229","20251229",,,
"2_180_20251229","20251229",,,
