"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_146_20251229","1_431_20251229","1_431_307_2_5008_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5011_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5013_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5015_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5020_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5022_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5024_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5029_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5031_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_431_20251229","1_431_307_2_5034_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5066_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5069_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5071_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5073_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5078_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5080_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5082_20251229","福山駅北口",,"1",,,,,"1",
"1_146_20251229","1_432_20251229","1_432_307_2_5087_20251229","福山駅北口",,"1",,,,,"1",
