station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
9e9c5d4e-0711-4c0b-91eb-f7af33ff3b59,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,1,,,
01894270-f459-460f-a27e-8a66a2cc3410,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,2,,,
901015d8-c1d9-49bd-99df-23e6fe3e0c55,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,3,,,
68526790-88f9-4223-becd-92788079dbff,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,4,,,
a2ed1796-175f-426e-943d-d221e7118121,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,5,,,
81382465-65a2-4dff-9889-e67646c79aaa,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,6,,,
3df9abff-5ffb-494b-b249-f78235d92e37,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,7,,,
286b3022-a84d-44be-b7bf-6a56c6f893fe,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,8,,,
1b690eb2-c8e5-4029-b704-c29907720bf3,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,9,,,
d2ac8b48-0dcf-4fe0-b211-77ac3eabfb61,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,10,,,
4ea6ed11-6a44-4d0e-84be-aa52aa8304fe,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,11,,,
15073861-91cc-46fd-bfbd-fa03a0d8696b,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,12,,,
04487413-808a-41ac-a628-9fe9eadac026,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,13,,,
0583f49d-d6c1-45ee-a59d-20618378150b,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,14,,,
75f0e8f7-e017-42c1-91cd-dcaeb054fc65,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,15,,,
7b3256fd-10b7-4207-9a14-37b95b90c4f0,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,16,,,
7081d314-ae7f-4a99-ab5a-d8b1cddfc5ba,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,17,,,
3a78f6bd-5ff8-4a30-a660-96407b77f9d1,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,18,,,
fd4a935f-19ed-4f20-95a2-ad05148a2b3e,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,19,,,
c7be291f-892d-4238-b827-9aee152b6b72,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,20,,,
ce3435de-dcc7-4bd7-b40a-b0b9f84440b9,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,21,,,
2e86b296-ab15-46e9-9924-0837e22196fe,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,22,,,
109d6d5e-90e1-4a34-afa2-87346df32a57,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,23,,,
45fe52a5-d77d-4b08-a15c-d92faea9c913,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,24,,,
4df2cecd-74b5-4216-85e8-8ee566c244a5,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,25,,,
842298b5-5c30-4e94-af90-d4025dad2788,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,26,,,
25351f46-b6bf-4f67-90f9-96cc30f0f611,44aa3ae8-73e4-4fbe-839f-0083855c0b82,,,27,,,
a57e2df8-043a-4403-94f8-68a044aff33a,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,1,,防府駅,湯田温泉通・県庁前・山口駅・ゆめタウン山口
db48e896-2842-4263-9981-588b1303a5de,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,2,,防府駅,湯田温泉通・県庁前・山口駅・ゆめタウン山口
5a207467-2eb1-471e-bb47-deae588b1371,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,3,,防府駅,湯田温泉通・県庁前・山口駅・ゆめタウン山口
efc95d13-8049-48fe-9710-5c7d78d2b69a,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,4,,防府駅,湯田温泉通・県庁前・山口駅・ゆめタウン山口
616097d2-3f22-43b2-826a-4cce3a141e56,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,5,,防府駅,湯田温泉通・県庁前・山口駅・ゆめタウン山口
34fa67f2-98a8-4013-be81-7a5076c398d5,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,6,,防府駅,湯田温泉通・県庁前・山口駅・ゆめタウン山口
1059982a-3057-4d6a-94b3-9bf7c998f179,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,7,,防府駅,県庁前・山口駅・ゆめタウン山口
b5219ac5-8e8c-4ce3-97b6-9a9701b42e64,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,8,,防府駅,県庁前・山口駅・ゆめタウン山口
a9a483b4-81d8-413a-9933-05fd63defdd6,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,9,,防府駅,県庁前・山口駅・ゆめタウン山口
121bc11b-289e-4521-bcb2-1c03fac054f4,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,10,,防府駅,県庁前・山口駅・ゆめタウン山口
4f7d6a62-3db6-4c24-9da5-9e3b9572c293,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,11,,防府駅,県庁前・山口駅・ゆめタウン山口
7ce23a56-c571-4e26-9bfc-dc4f04a7e60b,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,12,,防府駅,県庁前・山口駅・ゆめタウン山口
4afab20b-fbb8-4ef0-9024-b5e5476eda38,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,13,,防府駅,山口駅・ゆめタウン山口
c4d5c88f-2f3f-4f80-8395-42be189c229c,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,14,,防府駅,山口駅・ゆめタウン山口
07f2a369-65ef-4658-b439-16aea6793156,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,15,,防府駅,山口駅・ゆめタウン山口
f460142c-3b6d-4335-b023-6396f893fd33,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,16,,防府駅,山口駅・ゆめタウン山口
0965fc1f-c85c-4cb8-a0fc-775177424d5e,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,17,,防府駅,ゆめタウン山口
155d9746-a21e-4b4b-8e63-c2b0c026bc1e,0972f0de-f3c0-4c5b-9229-00b1f6f70971,,,18,,防府駅,ゆめタウン山口
