daiya_sid,bin_no,course_sid
670b86a1-64f4-4b9c-b06e-f87872e00cae,1,ad5e7af1-79a4-479c-8a46-06d248db3518
f7c3e82a-a747-479e-8168-1dfa744fd0f1,1,ad5e7af1-79a4-479c-8a46-06d248db3518
c2ddd22d-9466-4fd7-87d5-2d506c77b241,1,ad5e7af1-79a4-479c-8a46-06d248db3518
dc5b7497-b3b9-4dea-93dd-2dc907b5b79a,6,d0ff9248-3157-40f4-adc3-079b9fb0c084
f9a9f389-e91c-4a50-a61e-36d66ca27b8e,7,d0ff9248-3157-40f4-adc3-079b9fb0c084
588f1cbe-1698-4e36-9d8e-47051ceaecbd,8,d0ff9248-3157-40f4-adc3-079b9fb0c084
833730ad-18bf-4ca4-95b1-5564c11f76cd,1,d0ff9248-3157-40f4-adc3-079b9fb0c084
cc2911e6-c3b6-4cd5-b5ef-559212d35870,3,d0ff9248-3157-40f4-adc3-079b9fb0c084
2926ab21-9a45-4ef5-9868-28e4c664006c,1,d0ff9248-3157-40f4-adc3-079b9fb0c084
d1f57b17-66b3-4294-bd6d-01c9f64f6f23,3,d0ff9248-3157-40f4-adc3-079b9fb0c084
97bc8337-25bf-4040-8d87-0391ef90a387,9,d0ff9248-3157-40f4-adc3-079b9fb0c084
3743dd85-07a0-49f2-bfc1-093d3dc85e22,6,d0ff9248-3157-40f4-adc3-079b9fb0c084
e219a0ac-0f7c-469d-bd80-11a6f7765e47,4,d0ff9248-3157-40f4-adc3-079b9fb0c084
5d2a10eb-d499-455f-9a5c-6458888797af,1,d0ff9248-3157-40f4-adc3-079b9fb0c084
c8dd0c43-5494-4c87-a101-66ec35f3b0a5,2,d0ff9248-3157-40f4-adc3-079b9fb0c084
d46781a8-c54f-421e-bb7a-6c1501b91c64,6,d0ff9248-3157-40f4-adc3-079b9fb0c084
9fa90739-b3b7-4cf5-955a-791735b399ae,9,d0ff9248-3157-40f4-adc3-079b9fb0c084
8c674528-8228-40a5-bb06-815df855d2a9,2,d0ff9248-3157-40f4-adc3-079b9fb0c084
a5c41292-105b-42c2-a73a-aa846ce43da1,8,d0ff9248-3157-40f4-adc3-079b9fb0c084
74750eb6-a108-4039-ab06-ac7f80899c9c,5,d0ff9248-3157-40f4-adc3-079b9fb0c084
b0864f72-0991-410f-a48c-fd583c469d3c,5,d0ff9248-3157-40f4-adc3-079b9fb0c084
5ad52544-27c0-42b8-901c-df1b44b324d3,4,d0ff9248-3157-40f4-adc3-079b9fb0c084
f6746fc5-75bb-4699-a1ee-dfad379cb3e7,9,d0ff9248-3157-40f4-adc3-079b9fb0c084
1fa78361-f4ab-42ed-891e-e30927834d27,7,d0ff9248-3157-40f4-adc3-079b9fb0c084
07e0712e-d919-427d-9a7c-e5f5c130920e,5,d0ff9248-3157-40f4-adc3-079b9fb0c084
c4b1472b-bfdd-4c1d-8d3a-ef84f0d30f94,8,d0ff9248-3157-40f4-adc3-079b9fb0c084
0bf6748a-70e2-4b67-a329-bb166ad40068,4,d0ff9248-3157-40f4-adc3-079b9fb0c084
9dce8a5e-4921-4958-856a-b8c8f4957f8c,2,d0ff9248-3157-40f4-adc3-079b9fb0c084
18fd44ad-434b-4d76-83ca-c36a8c337b4a,7,d0ff9248-3157-40f4-adc3-079b9fb0c084
e9093dc8-481d-40d6-919e-c4ed086475e0,3,d0ff9248-3157-40f4-adc3-079b9fb0c084
a78deac4-fc1f-4ba6-b3b8-c9e4ac7fbf49,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
ce3eb52a-3ef9-405e-8bf6-ca309b04dcca,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
3e6d9efd-8395-4101-8350-cd7ac447d622,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
77dd34aa-19f4-4d7f-bd0d-d628e1ef4339,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
be29979c-1b58-473b-aa83-ef18553f5ba1,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
4a880f59-3dfe-496d-ad03-e94ed12e2240,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
4ed4dab0-af94-47c6-91e8-f53646f01a1a,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
27a61a9d-d485-4acf-af7d-f5f00299523f,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
1dc7167c-6814-46d5-856c-a2d953e4158e,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
2dfcd3a4-4bf2-4c39-8cec-88b93903b809,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
53f153b3-d6e7-4e63-b1cc-5a18e00d94ad,3,1002d5c0-1a0d-4696-8ffa-0832f10c3def
ff2cdefd-89fe-46cc-8bfa-15e7b6cd5333,6,1002d5c0-1a0d-4696-8ffa-0832f10c3def
8fa2b823-f99e-46a0-8596-0d55850fa2bc,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
76dcbae4-34a2-4ca3-8eec-1c999029fa10,4,1002d5c0-1a0d-4696-8ffa-0832f10c3def
abf38a43-e6d4-4b63-a1dd-4186e9ef4df7,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
856496ff-ff90-41cb-a8b5-38827dfcb640,1,1002d5c0-1a0d-4696-8ffa-0832f10c3def
a244d982-69e0-49c5-a43c-3b1077e4ee58,5,1002d5c0-1a0d-4696-8ffa-0832f10c3def
311ec694-1e6b-41a3-a055-3b6efbdceaff,2,1002d5c0-1a0d-4696-8ffa-0832f10c3def
943be15c-1239-4b0e-9c63-bf536a05ce2f,3,90962eef-521a-49cf-9376-0bb224e18a34
bb55a5a9-9a0f-4d38-b2dd-bfba6f9572ed,10,90962eef-521a-49cf-9376-0bb224e18a34
b6a6130b-fb84-4a3f-a6eb-b2589c535920,9,90962eef-521a-49cf-9376-0bb224e18a34
7ec57644-4e6b-46ff-8f2e-d95d2f416636,9,90962eef-521a-49cf-9376-0bb224e18a34
5c1d9d12-2500-4819-9d27-da1378502ad8,6,90962eef-521a-49cf-9376-0bb224e18a34
8ecfbecd-d08e-42ff-8f6d-cf4ae0512d18,11,90962eef-521a-49cf-9376-0bb224e18a34
3f57f119-1158-4af9-a0ef-c5fa97ef3e15,11,90962eef-521a-49cf-9376-0bb224e18a34
45637b0f-f8bf-4348-8058-f25120a9700c,6,90962eef-521a-49cf-9376-0bb224e18a34
655ef19f-3caa-4ecc-8bc1-a9ee8d10b470,3,90962eef-521a-49cf-9376-0bb224e18a34
059d3e66-bf6f-4acd-8900-b040204f27f7,8,90962eef-521a-49cf-9376-0bb224e18a34
0e1bc4a2-fcb8-421d-afaa-b1284439653f,4,90962eef-521a-49cf-9376-0bb224e18a34
1efff99c-9250-4057-8032-a6505d26a917,2,90962eef-521a-49cf-9376-0bb224e18a34
8256f7ec-ef8a-4851-a2e9-91df5d3703f0,4,90962eef-521a-49cf-9376-0bb224e18a34
f7119240-953f-4c14-b4d1-93a4cb1bd6b2,11,90962eef-521a-49cf-9376-0bb224e18a34
78843324-2304-49ba-88a3-95041fe243a6,7,90962eef-521a-49cf-9376-0bb224e18a34
3f39a516-09c9-4ae5-b1da-8c61bd389340,2,90962eef-521a-49cf-9376-0bb224e18a34
0c6c3d24-a3ec-45c4-bc9b-8eecd8dbc18f,6,90962eef-521a-49cf-9376-0bb224e18a34
dd4dd5a2-0d83-4f81-9413-6f53f834d2d7,5,90962eef-521a-49cf-9376-0bb224e18a34
a04f8635-e81f-418c-8191-774eaab0a8f3,9,90962eef-521a-49cf-9376-0bb224e18a34
5ed97fee-477e-42b0-9808-7bcdb575faf8,2,90962eef-521a-49cf-9376-0bb224e18a34
4967670c-137c-4fad-bd53-785ae8a20c24,7,90962eef-521a-49cf-9376-0bb224e18a34
ee8d2e0c-a225-4442-89a7-7892393f7a74,1,90962eef-521a-49cf-9376-0bb224e18a34
d159b8ad-d013-462f-b482-809cde239207,1,90962eef-521a-49cf-9376-0bb224e18a34
bbcb5ba6-6b95-45e9-86d6-65ce360cff3e,7,90962eef-521a-49cf-9376-0bb224e18a34
45f131d0-97a2-4c84-ad5e-6ba03bc2140b,8,90962eef-521a-49cf-9376-0bb224e18a34
4fb62cca-5858-40e4-8515-13dea92d1562,8,90962eef-521a-49cf-9376-0bb224e18a34
2c82edfd-266b-4c21-b7af-22ea40bb7a10,5,90962eef-521a-49cf-9376-0bb224e18a34
241c1b49-d7d5-4ac6-812a-2189489aebd9,5,90962eef-521a-49cf-9376-0bb224e18a34
dbc8df54-4d05-4bf8-b865-1a484ad6e49b,3,90962eef-521a-49cf-9376-0bb224e18a34
45aa06ae-4199-4c39-870e-17928fb522a9,10,90962eef-521a-49cf-9376-0bb224e18a34
79e54e51-6eb4-4710-97d7-50150cb9e23a,10,90962eef-521a-49cf-9376-0bb224e18a34
9ae2f42c-4c66-4018-b0d4-4646e620e205,4,90962eef-521a-49cf-9376-0bb224e18a34
04d0c504-138e-4955-8ba0-3f1f05f8460e,1,90962eef-521a-49cf-9376-0bb224e18a34
f772b5a2-6c8f-4f13-9932-44bf2a67c8d4,1,2827643d-e5e9-4ae4-9f84-0bf5bf982f6e
912c2a39-e75f-4d1e-9132-5cb2c7a5efb3,2,2827643d-e5e9-4ae4-9f84-0bf5bf982f6e
13d534cd-b635-4378-9354-b5940b181757,3,88a994ce-91fb-41de-a57f-0d342447a716
537eb049-a8c7-4bfb-9ba7-f0e0cbb351d9,1,88a994ce-91fb-41de-a57f-0d342447a716
d46b0936-8a1d-4fbe-b5f6-e47d4613c621,3,88a994ce-91fb-41de-a57f-0d342447a716
36501be0-03f0-46d1-9002-e0c3e8aaee8b,1,88a994ce-91fb-41de-a57f-0d342447a716
aefb03a0-9aba-4fee-bd5b-8b62cc35ed5e,2,88a994ce-91fb-41de-a57f-0d342447a716
b72f74dd-9fe6-408a-96ba-995dd62f2822,1,88a994ce-91fb-41de-a57f-0d342447a716
1bf0d051-e426-4de2-82d5-2e9f732fd3c1,2,88a994ce-91fb-41de-a57f-0d342447a716
a9c1d529-9d0c-4bc7-9e87-07ea70672515,2,88a994ce-91fb-41de-a57f-0d342447a716
f99e1b61-7b32-40f4-a1ae-35640f46f659,1,521d4f74-23be-4c16-b24b-0e65fb96d4df
760c4b70-ce18-4929-99a2-10a7ee5f4bb7,1,63651f0c-f941-46e1-bac7-0f05d8eab446
44aa3ae8-73e4-4fbe-839f-0083855c0b82,11,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
ec0d7cd6-9a26-407a-a356-0e46dad02635,9,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
3796a7a9-77e6-43b5-98fb-1182297dda18,3,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
f8fc8a07-37bd-4f0d-bfc7-19e24fb6308b,4,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
aa29338f-9212-4022-acd1-15cb6b0c2bf6,2,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
1f9a8fd2-9150-49f1-997c-1d9a0d7432d9,13,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
a194f820-9f01-47f8-8d04-1e9c34e3bc13,10,6c19fd10-7632-4762-ba6e-1c1fd0d7d20c
