trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
dca42827-edbc-4564-b997-000fb753993f,07:25:00,07:25:00,28 1,1,向島支所,0,1,,
dca42827-edbc-4564-b997-000fb753993f,07:25:00,07:25:00,140 1,2,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:26:00,07:26:00,236 1,3,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:27:00,07:27:00,241 1,4,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:28:00,07:28:00,207 1,5,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:29:00,07:29:00,132 1,6,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:30:00,07:30:00,102 1,7,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:31:00,07:31:00,184 1,8,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:32:00,07:32:00,185 1,9,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:33:00,07:33:00,86 2,10,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:33:00,07:33:00,186 1,11,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:34:00,07:34:00,94 1,12,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:34:00,07:34:00,40 2,13,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:35:00,07:35:00,26 1,14,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:35:00,07:35:00,52 1,15,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:36:00,07:36:00,56 1,16,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:36:00,07:36:00,141 1,17,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:37:00,07:37:00,145 1,18,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:38:00,07:38:00,388 1,19,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:39:00,07:39:00,150 1,20,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:40:00,07:40:00,139 1,21,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:45:00,07:45:00,95 1,22,向島支所,0,0,,
dca42827-edbc-4564-b997-000fb753993f,07:50:00,07:50:00,385 10,23,向島支所,1,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:27:00,09:27:00,45 1,1,高須車庫,0,1,,
528d36a6-b056-43c6-b546-001486b2e356,09:28:00,09:28:00,194 1,2,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:29:00,09:29:00,244 1,3,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:30:00,09:30:00,154 1,4,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:31:00,09:31:00,104 1,5,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:32:00,09:32:00,196 1,6,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:33:00,09:33:00,116 1,7,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:33:00,09:33:00,42 1,8,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:34:00,09:34:00,210 1,9,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:35:00,09:35:00,88 1,10,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:36:00,09:36:00,48 1,11,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:37:00,09:37:00,233 1,12,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:38:00,09:38:00,232 1,13,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:39:00,09:39:00,180 1,14,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:40:00,09:40:00,64 1,15,高須車庫,0,0,,
528d36a6-b056-43c6-b546-001486b2e356,09:44:00,09:44:00,113 10,16,高須車庫,1,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:15:00,13:15:00,322 1,1,尾道駅前,0,1,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:16:00,13:16:00,324 1,2,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:17:00,13:17:00,325 1,3,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:19:00,13:19:00,327 1,4,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:21:00,13:21:00,329 1,5,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:23:00,13:23:00,332 1,6,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:27:00,13:27:00,337 1,7,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:34:00,13:34:00,375 2,8,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:41:00,13:41:00,220 2,9,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:42:00,13:42:00,137 2,10,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:43:00,13:43:00,63 1,11,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:44:00,13:44:00,228 1,12,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:45:00,13:45:00,109 2,13,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:45:00,13:45:00,62 2,14,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:46:00,13:46:00,222 2,15,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:47:00,13:47:00,183 2,16,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:48:00,13:48:00,139 2,17,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:49:00,13:49:00,150 2,18,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:53:00,13:53:00,168 2,19,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:54:00,13:54:00,46 2,20,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:57:00,13:57:00,124 1,21,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:58:00,13:58:00,126 1,22,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,13:59:00,13:59:00,125 1,23,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:03:00,14:03:00,111 1,24,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:03:00,14:03:00,125 2,25,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:04:00,14:04:00,126 2,26,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:05:00,14:05:00,124 2,27,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:09:00,14:09:00,42 2,28,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:10:00,14:10:00,116 2,29,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:10:00,14:10:00,196 2,30,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:11:00,14:11:00,104 2,31,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:13:00,14:13:00,154 2,32,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:13:00,14:13:00,244 2,33,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:14:00,14:14:00,194 2,34,尾道駅前,0,0,,
a8c7a47c-d70c-46e7-8ae1-0023a1e514a1,14:20:00,14:20:00,45 10,35,尾道駅前,1,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:25:00,15:25:00,300 1,1,尾道駅前,0,1,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:29:00,15:29:00,72 2,2,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:30:00,15:30:00,213 2,3,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:30:00,15:30:00,50 2,4,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:31:00,15:31:00,107 2,5,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:32:00,15:32:00,131 2,6,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:36:00,15:36:00,41 2,7,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:36:00,15:36:00,31 2,8,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:38:00,15:38:00,301 2,9,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:38:00,15:38:00,61 2,10,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:40:00,15:40:00,191 2,11,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:41:00,15:41:00,166 2,12,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:41:00,15:41:00,6 2,13,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:42:00,15:42:00,218 2,14,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:42:00,15:42:00,161 2,15,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:43:00,15:43:00,187 2,16,尾道駅前,0,0,,
105c1413-59cc-472b-9f85-0032c733e9b9,15:45:00,15:45:00,247 2,17,尾道駅前,0,0,,
