station_sid,daiya_sid,course_station_desc,course_station_desc_symbol,stop_sequence,course_no,ikisaki_main,ikisaki_sub
d85411ce-3326-4b72-910d-ac5cd49a8447,dca42827-edbc-4564-b997-000fb753993f,,,1,0,向島支所,
e7044684-5f66-446c-9c2b-42d65cd20215,dca42827-edbc-4564-b997-000fb753993f,,,2,0,向島支所,
0accd92e-d8a1-488f-b070-2d51348a4b40,dca42827-edbc-4564-b997-000fb753993f,,,3,0,向島支所,
de8b5071-40f5-4258-923b-68b0f90f2beb,dca42827-edbc-4564-b997-000fb753993f,,,4,0,向島支所,
f9649eaa-765e-4507-bc48-1d2d0cf457b6,dca42827-edbc-4564-b997-000fb753993f,,,5,0,向島支所,
73dc16d9-0a76-4e04-ad45-8586b480b5fc,dca42827-edbc-4564-b997-000fb753993f,,,6,0,向島支所,
0ea00f4a-7ecc-4071-aa0d-7af26a12bc74,dca42827-edbc-4564-b997-000fb753993f,,,7,0,向島支所,
ee599260-5d23-4439-8293-c7c328da35ac,dca42827-edbc-4564-b997-000fb753993f,,,8,0,向島支所,
56b5f741-7940-4fb9-a658-64358ad0939c,dca42827-edbc-4564-b997-000fb753993f,,,9,0,向島支所,
d66ffcd4-b932-402b-9c5a-96d10a6c4667,dca42827-edbc-4564-b997-000fb753993f,,,10,0,向島支所,
347929d0-aed6-434c-8eb6-3ae5c598835f,dca42827-edbc-4564-b997-000fb753993f,,,11,0,向島支所,
5d969ad8-3bc5-4902-90f0-6f6f9295a7e3,dca42827-edbc-4564-b997-000fb753993f,,,12,0,向島支所,
281e197a-cab8-4487-810c-487d06e28603,dca42827-edbc-4564-b997-000fb753993f,,,13,0,向島支所,
2c36020e-d9c4-4616-be60-3a5f46a057ea,dca42827-edbc-4564-b997-000fb753993f,,,14,0,向島支所,
6dce440a-02d4-4ff6-9205-885a070fa8b3,dca42827-edbc-4564-b997-000fb753993f,,,15,0,向島支所,
f6f47648-344e-423c-83db-d6f29218bb4d,dca42827-edbc-4564-b997-000fb753993f,,,16,0,向島支所,
c42a5ec9-6931-46f8-be54-da4354b48e95,dca42827-edbc-4564-b997-000fb753993f,,,17,0,向島支所,
4a34a6ab-31e7-43c3-8ae4-f94ccac1804d,dca42827-edbc-4564-b997-000fb753993f,,,18,0,向島支所,
b8b34635-545f-4db0-ba71-fa1a9554b5b8,dca42827-edbc-4564-b997-000fb753993f,,,19,0,向島支所,
e80a14a4-827c-4856-a1c7-8b030deade70,dca42827-edbc-4564-b997-000fb753993f,,,20,0,向島支所,
03869268-768e-422b-b67f-089779ffc6d3,dca42827-edbc-4564-b997-000fb753993f,,,21,0,向島支所,
5b88e632-9c6f-4974-81c7-0325b8e94357,dca42827-edbc-4564-b997-000fb753993f,,,22,0,向島支所,
083a19c6-d4cd-44dc-8b22-adf644df6d68,dca42827-edbc-4564-b997-000fb753993f,,,23,0,向島支所,
4c61a324-3640-4bc3-a09d-ffb048856c7d,528d36a6-b056-43c6-b546-001486b2e356,,,1,15,高須車庫,長江口・ＪＡ産直前
d795f960-abff-4377-b69e-b5a7de889d54,528d36a6-b056-43c6-b546-001486b2e356,,,2,15,高須車庫,長江口・ＪＡ産直前
96b1de0f-10d9-4c70-87b3-163fcfc9273f,528d36a6-b056-43c6-b546-001486b2e356,,,3,15,高須車庫,長江口・ＪＡ産直前
877c6199-bb5a-4ebb-b035-b0b87a788d8f,528d36a6-b056-43c6-b546-001486b2e356,,,4,15,高須車庫,ＪＡ産直前
26b11558-a369-4d69-ab38-6168d55105d5,528d36a6-b056-43c6-b546-001486b2e356,,,5,15,高須車庫,ＪＡ産直前
5a62eddc-ae9d-4c7e-b719-9606f8be63ae,528d36a6-b056-43c6-b546-001486b2e356,,,6,15,高須車庫,ＪＡ産直前
75988845-897a-49e3-b4f8-92b989fd0b99,528d36a6-b056-43c6-b546-001486b2e356,,,7,15,高須車庫,ＪＡ産直前
76c0e7cd-a50f-4d3c-8e3a-74ed93044b51,528d36a6-b056-43c6-b546-001486b2e356,,,8,15,高須車庫,ＪＡ産直前
c7d9c8db-4f2a-4250-8fb8-93d64b13d353,528d36a6-b056-43c6-b546-001486b2e356,,,9,15,高須車庫,ＪＡ産直前
4f7c9ed9-2bef-4425-9e4c-029aae5a4d44,528d36a6-b056-43c6-b546-001486b2e356,,,10,15,高須車庫,ＪＡ産直前
3d848ae2-178a-44f0-820b-4dfa3a88cf61,528d36a6-b056-43c6-b546-001486b2e356,,,11,15,高須車庫,ＪＡ産直前
0073227e-5fee-49e1-947c-be216d5b5a31,528d36a6-b056-43c6-b546-001486b2e356,,,12,15,高須車庫,ＪＡ産直前
babcce2a-2512-46f7-80cc-10dc2e42025d,528d36a6-b056-43c6-b546-001486b2e356,,,13,15,高須車庫,ＪＡ産直前
9c470205-fa28-45cb-8349-162ea9924906,528d36a6-b056-43c6-b546-001486b2e356,,,14,15,高須車庫,ＪＡ産直前
d33dde95-733a-40b0-afed-abebac74c418,528d36a6-b056-43c6-b546-001486b2e356,,,15,15,高須車庫,
209b00f3-19e0-4b06-b0d9-ff4c9449e50a,528d36a6-b056-43c6-b546-001486b2e356,,,16,15,高須車庫,
