daiya_sid,bin_no,course_sid
f63ccb74-1bcb-4037-ab65-159211dc5cc3,5,c2c3d6f1-b055-4452-b14e-08383315de6a
3a35ad5c-2bee-4fcf-b4ed-41c66cf4ebda,1,c2c3d6f1-b055-4452-b14e-08383315de6a
8341ef95-a1a0-466c-ab94-41fa0166d877,17,a727ce85-3800-47c4-a4e6-0b768acbc219
d72080f7-3b0a-4387-a0a2-4784219d9f95,13,a727ce85-3800-47c4-a4e6-0b768acbc219
a6efa00e-dc0a-4397-a54e-7cb23a439702,9,a727ce85-3800-47c4-a4e6-0b768acbc219
39c2ac08-3ce1-40c3-84b9-8859f8a09811,4,a727ce85-3800-47c4-a4e6-0b768acbc219
d6eae6f0-3cbf-4dcc-8c79-9f432fa16bda,1,a727ce85-3800-47c4-a4e6-0b768acbc219
8a243780-9ad8-4234-90f9-abec93807451,10,a727ce85-3800-47c4-a4e6-0b768acbc219
f798c879-7925-4c78-81ba-1d109937a726,4,a727ce85-3800-47c4-a4e6-0b768acbc219
d7bda8cd-2a51-49ba-a8b5-0758746a4055,1,a727ce85-3800-47c4-a4e6-0b768acbc219
40e6b2de-4ede-4ec9-aa57-23b27d710496,1,a727ce85-3800-47c4-a4e6-0b768acbc219
d0b783de-4c40-4937-aa5c-23ba9d0ab243,7,a727ce85-3800-47c4-a4e6-0b768acbc219
b02b425e-460e-4f7c-a7b7-2efd158162f4,5,a727ce85-3800-47c4-a4e6-0b768acbc219
afaba317-c3a5-4f43-ae7e-e076afb2e21a,2,a727ce85-3800-47c4-a4e6-0b768acbc219
434a0ece-0f88-4f21-b0d2-fab0fcddabe6,3,a727ce85-3800-47c4-a4e6-0b768acbc219
af03b562-cd68-4d56-89f5-b8c551ebbf97,2,010c9650-59c3-438e-b2ac-127425dd9d10
516791af-399d-4253-8488-36bda5d6183a,1,010c9650-59c3-438e-b2ac-127425dd9d10
40150c9c-87c2-4adf-a633-2315196d9106,13,010c9650-59c3-438e-b2ac-127425dd9d10
6cf4dde5-c42c-425f-b05a-06e83d20f671,5,010c9650-59c3-438e-b2ac-127425dd9d10
19137b62-3bff-4bd5-b432-00fce14f4700,9,010c9650-59c3-438e-b2ac-127425dd9d10
f23d46f9-4a19-4d68-a94a-0ccb51631243,8,010c9650-59c3-438e-b2ac-127425dd9d10
6f42c780-0f98-491e-9829-1574fcd80de9,1,010c9650-59c3-438e-b2ac-127425dd9d10
